Item,Item Description,Item Type,Item Category,Price
1,Cold / Iced Water,Drink,Drink;Cold,0.73
2,Warm Water,Drink,Drink;Hot,0.73
11,Chs Bk Pork Chop Spag,Main,Spaghetti;Chicken,14.42
14,BP Chicken Chop Spag,Main,Spaghetti;Chicken,12.73
17,Fish Fillet Spag,Main,Spaghetti;Fish,12.73
20,Baked Pork Chop Cream Spag,Main,Spaghetti;Pork,15.15
21,Chicken Chop Cream Spag,Main,Spaghetti;Chicken,14.42
22,Mushroom Cream Spag,Main,Spaghetti;Vegetarian,12
23,Luncheon Mushrm Cream Spag,Main,Spaghetti;Pork,12.73
24,SCALLOP CREAM SAUCE SPAGHETTI,Main,Spaghetti;Seafood,17.58
34,Fish & Chips,Main,Western;Fish,13.94
35,BP Chicken Chop,Main,Western;Chicken,12.73
41,BAKED RICE EBI,Main,BakedRice;Seafood,15.15
43,Pork Chop Bk Rice,Main,Bakedrice;Pork,15.15
44,BP Beef Bk Rice,Main,Bakedrice;Beef,15.15
45,Chix Chop Bk Rice,Main,Bakedrice;Chicken,15.15
46,Fish Bk Rice,Main,Bakedrice;Fish,13.94
47,Mush Bk Rice,Main,Baked Rice;Vegetarian,13.94
48,BAKED RICE CURRY SLICED BEEF,Main,Baked Rice;Beef,15.15
61,CRISPY PRAWN NOODLE,Main,Noodle;Seafood,16.36
62,Seafood Egg Hor Fun,Main,Noodle;Seafood,12.73
66,Sliced Fish Egg Hor Fun,Main,Noodle;Fish,12.73
67,Signature Fried Noodles,Main,Noodle;Pork,13.94
68,Fried Spare Ribs Bee Hoon,Main,Noodle;Pork,13.94
74,Wanton Soup Noodle,Main,Noodle;Pork;Seafood,10.79
76,Braised Beef brisket Noodles,Main,Noodle;Beef,12
78,SPECIAL STIR FRIED BEE HOON,Main,Noodle;Pork;Seafood,12.73
102,Kaya Butter Bread,Side,Bread;Sweet,3.52
106,Peanut Butter Milk Thick Toast,Side,Bread;Sweet,5.94
109,French Toast,Side,Bread;Sweet,5.94
111,F.Toast Chicken Floss,Side,Bread;Savoury,7.88
112,F.Toast Ice Cream,Side,Bread;Sweet,23.64
121,Egg & Ham Sandwich,Side,Bread;Savoury,4.73
126,Luncheon N Egg Sandwich,Side,Bread;Savoury,4.73
127,Borsch Soup,Side,Soup;Beef,5.94
129,Wanton Soup,Side,Soup;Pork;Seafood,7.15
131,Soup Of The Day,Side,Soup,8.36
203,CURRY BEEF BRISKET HOT POT WITH RICE,Main,Rice;Beef,13.94
251,Yao Ma Tei Chix Rice,Main,Rice;Chicken,13.94
254,Pork Chop Frag Rice,Main,Rice;Pork,13.94
290,Ham Egg Toast N French Fries,Side,Bread;Pork,8.36
292,Soft Boiled Eggs,Side,Bread,3.52
293,Chicken Macaroni Soup,Main,Soup;Chicken,9.09
294,Seafood and Slice Pork Macaroni Soup,Main,Soup;Seafood;Pork,10.3
302,Deep-fried Prawns with Mango sauce,Side,Fingerfood;Seafood,11.51
305,F.Fries Curry Mayo,Side,Fingerfood;Vegetarian,5.94
306,Bo Lo Bun,Side,Bread,3.52
307,Prawn Paste Chicken,Side,Fingerfood;Chicken,8.36
312,Chicken with Seaweed,Side,Fingerfood;Chicken,7.15
313,HAM BO LO BUN,Side,Fingerfood;Chicken,5.94
315,HONEY CHICKEN WING (5pcs),Side,Fingerfood;Chicken,7.15
401,Siew Mai,Side,Dimsum;Seafood;Pork,5.45
402,Steam Pork Spare Ribs,Side,Dimsum;Pork,5.94
403,Beancurd Skin Prawn Roll,Side,Dimsum;Pork,6.67
404,Custard Bun,Side,Dimsum;Chicken,4.73
407,Radish Cake,Side,Dimsum;Pork,5.94
