uscore,price,item_type,item_cat,item_desc
331,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
813,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
903,1515,Main,BakedRice;Seafood,BAKED RICE EBI
360,545,Side,Dimsum;Pork,BBQ Pork Bun
542,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
316,1273,Main,Western;Chicken,BP Chicken Chop
451,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
451,1273,Main,Western;Chicken,BP Chix Chop & Fries
948,1273,Main,Spaghetti;Chicken,BP Chix Spag
271,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
865,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
66,473,Dessert,Dessert;Cold,Beancurd w Mango
396,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
180,352,Side,Bread,Bo Lo Bun
144,594,Side,Soup;Beef,Borsch Soup
587,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
226,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
632,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
12,836,Drink,Drink;Cold,COKE FLOAT
677,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
542,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
948,1030,Main,Porridge;Pork,Cent Egg Pork Por
2844,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1038,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
685,594,Side,Dimsum;Chicken,Chicken Feet
1038,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
226,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
722,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
135,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
360,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
216,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
451,909,Main,Soup;Chicken,Chicken Macaroni Soup
406,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
577,715,Side,Fingerfood;Chicken,Chicken with Seaweed
72,206,Drink,Drink;Hot,Chinese Tea
993,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
757,594,Side,Dimsum;Chicken,Chix Feet
288,594,Side,Fingerfood;Chicken,Chix Wing BP
72,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
937,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
468,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
396,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
587,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
406,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
199,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
60,352,Drink,Drink;Cold,Coke
20,121,Drink,Drink;Cold,Coke Float (Promo)
153,73,Drink,Drink;Cold,Cold / Iced Water
108,594,Side,Bread;Sweet,Condensed & Peanut TT
829,473,Side,Dimsum;Chicken,Custard Bun
324,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
468,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
813,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
72,473,Side,Bread;Savoury,Egg & Ham Sandwich
271,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
288,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
108,788,Side,Bread;Savoury,F.Toast Chicken Floss
324,2364,Side,Bread;Sweet,F.Toast Ice Cream
135,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
1083,1394,Main,Western;Fish,Fish & Chips
948,1394,Main,Bakedrice;Fish,Fish Bk Rice
181,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
316,1273,Main,Spaghetti;Fish,Fish Fillet Spag
587,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
451,1273,Main,Rice;Fish,Fish Slice Muifan
587,1030,Main,Porridge;Fish,Fish Slice Por
577,594,Side,Bread;Sweet,French Toast
44,594,Drink,Drink;Cold,Fresh  Lime Juice
60,352,Drink,Drink;Hot,Fresh Soy Milk
451,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
761,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
288,594,Side,Fingerfood;Chicken,HAM BO LO BUN
901,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
632,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
216,836,Side,Bread;Pork,Ham Egg Toast N French Fries
1874,594,Side,Dimsum;Seafood,Har Gao
66,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
596,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
112,424,Drink,Drink;Hot,Hot Coffee-Tea
12,473,Drink,Drink;Hot,Hot Honey Green Tea
80,473,Drink,Drink;Hot,Hot Honey with Lemon
16,836,Drink,Drink;Cold,ICED MILO FLOAT
169,545,Drink,Drink;Cold,Ice Milo Dinosaur
185,473,Drink,Drink;Cold,Iced Coffee-Tea
20,836,Drink,Drink;Cold,Iced Coffee-Tea Float
24,594,Drink,Drink;Cold,Iced Honey Green Tea
197,594,Drink,Drink;Cold,Iced Lemon Tea
217,667,Drink,Drink;Cold,Iced Lychee Tea
550,473,Drink,Drink;Cold,Iced Milk Tea
44,836,Drink,Drink;Cold,Iced Milk Tea Float
44,667,Drink,Drink;Cold,Iced Peach Tea
141,473,Drink,Drink;Cold,Iced Soy Milk
20,667,Drink,Drink;Cold,Iced Yuzu Tea
36,352,Side,Bread;Sweet,Kaya Butter Bread
396,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
60,206,Drink,Drink;Hot,Kopi
180,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
4,473,Drink,Drink;Hot,LEMON COKE
180,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
12,594,Drink,Drink;Cold,Lime Juice
396,594,Side,Fingerfood;Pork,Luncheon Meat Fries
722,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
360,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
587,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
56,715,Drink,Drink;Cold,Lychee Ice-blended
827,836,Dessert,Dessert;Cold,Mango Pomelo
232,909,Dessert,Dessert;Cold,Mango SnowIce
169,424,Drink,Drink;Hot,Milk Tea
60,229,Drink,Drink;Hot,Milo
360,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
722,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
316,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
1225,788,Side,Dimsum;Pork,Pan Fried Dumpling
468,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
36,1430,Drink,Drink;Cold,Peach Ice-blended
252,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
1219,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
1490,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
181,1394,Main,Rice;Pork,Pork Chop Frag Rice
271,1394,Main,Noodle;Pork,Pork Chop Noodle
271,1030,Main,Porridge;Pork,Pork N Century Egg Congee
497,1394,Main,Noodle;Pork,Pork Ribs BH
135,1030,Main,Porridge;Pork,Pork n Century Egg Congee
324,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
45,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
120,594,Drink,Drink;Cold,RAINBOW SPRITE
829,594,Side,Dimsum;Pork,Radish Cake
298,909,Dessert,Dessert;Cold,Red Bean Snow
1129,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
767,1394,Main,Rice;Pork,SH Pork Chop Rice
361,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
20,594,Drink,Drink;Cold,SOUR PLUM COKE
265,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
722,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
1478,594,Side,Dimsum;Pork,SPRING ROLL
1219,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
90,1151,Main,Porridge;Seafood,Sampan Congee
45,1321,Main,Noodle;Seafood,Seafood Ee Noodle
271,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
632,1273,Main,Rice;Seafood,Seafood Muifan
1129,1273,Main,Noodle;Seafood,Seafood Sauteed HF
451,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
364,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
1514,545,Side,Dimsum;Seafood;Pork,Siew Mai
1851,1394,Main,Noodle;Pork,Signature Fried Noodles
2889,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
1264,1200,Main,Porridge;Seafood,Sliced Empress Congee
226,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
144,836,Side,Soup,Soup Of The Day
271,1030,Main,Porridge;Pork,Spicy Pork Por
613,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
40,352,Drink,Drink;Cold,Sprite
497,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
288,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
56,206,Drink,Drink;Hot,Teh
451,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
181,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
72,182,Side,Addons;Vegetarian,WHITE RICE
288,715,Side,Soup;Pork;Seafood,Wanton Soup
1174,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
141,73,Drink,Drink;Hot,Warm Water
33,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
52,715,Drink,Drink;Cold,Watermelon Ice
72,715,Drink,Drink;Cold,Watermelon Ice-Blended
1715,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
92,388,Drink,Drink;Hot,Yuzu Tea
