uscore,price,item_type,item_cat,item_desc
307,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
375,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
225,1515,Main,BakedRice;Seafood,BAKED RICE EBI
847,545,Side,Dimsum;Pork,BBQ Pork Bun
225,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
263,1273,Main,Western;Chicken,BP Chicken Chop
638,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
113,1273,Main,Western;Chicken,BP Chix Chop & Fries
338,1273,Main,Spaghetti;Chicken,BP Chix Spag
188,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
972,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
307,473,Dessert,Dessert;Cold,Beancurd w Mango
94,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
376,352,Side,Bread,Bo Lo Bun
345,594,Side,Soup;Beef,Borsch Soup
713,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
113,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
451,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
14,836,Drink,Drink;Cold,COKE FLOAT
451,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
451,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
488,1030,Main,Porridge;Pork,Cent Egg Pork Por
2365,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1427,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
376,594,Side,Dimsum;Chicken,Chicken Feet
150,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
113,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
188,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
816,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
282,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
413,909,Main,Soup;Chicken,Chicken Macaroni Soup
526,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
784,715,Side,Fingerfood;Chicken,Chicken with Seaweed
69,206,Drink,Drink;Hot,Chinese Tea
563,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
471,594,Side,Dimsum;Chicken,Chix Feet
345,594,Side,Fingerfood;Chicken,Chix Wing BP
157,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
941,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
188,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
408,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
488,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
300,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
118,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
34,352,Drink,Drink;Cold,Coke
7,121,Drink,Drink;Cold,Coke Float (Promo)
268,73,Drink,Drink;Cold,Cold / Iced Water
251,594,Side,Bread;Sweet,Condensed & Peanut TT
690,473,Side,Dimsum;Chicken,Custard Bun
376,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
188,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
488,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
157,473,Side,Bread;Savoury,Egg & Ham Sandwich
676,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
690,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
251,788,Side,Bread;Savoury,F.Toast Chicken Floss
784,2364,Side,Bread;Sweet,F.Toast Ice Cream
225,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
638,1394,Main,Western;Fish,Fish & Chips
601,1394,Main,Bakedrice;Fish,Fish Bk Rice
188,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
225,1273,Main,Spaghetti;Fish,Fish Fillet Spag
638,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
188,1273,Main,Rice;Fish,Fish Slice Muifan
150,1030,Main,Porridge;Fish,Fish Slice Por
941,594,Side,Bread;Sweet,French Toast
48,594,Drink,Drink;Cold,Fresh  Lime Juice
131,352,Drink,Drink;Hot,Fresh Soy Milk
526,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
125,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
449,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
376,594,Side,Fingerfood;Chicken,HAM BO LO BUN
251,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
