uscore,price,item_type,item_cat,item_desc
158,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
653,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
703,1515,Main,BakedRice;Seafood,BAKED RICE EBI
331,545,Side,Dimsum;Pork,BBQ Pork Bun
283,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
296,1273,Main,Western;Chicken,BP Chicken Chop
431,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
601,1273,Main,Western;Chicken,BP Chix Chop & Fries
918,1273,Main,Spaghetti;Chicken,BP Chix Spag
351,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
523,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
89,473,Dessert,Dessert;Cold,Beancurd w Mango
189,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
87,352,Side,Bread,Bo Lo Bun
276,594,Side,Soup;Beef,Borsch Soup
1886,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
271,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
438,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
24,836,Drink,Drink;Cold,COKE FLOAT
1051,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
475,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
1442,1030,Main,Porridge;Pork,Cent Egg Pork Por
3217,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1402,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
200,594,Side,Dimsum;Chicken,Chicken Feet
1269,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
299,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
576,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
330,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
251,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
151,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
542,909,Main,Soup;Chicken,Chicken Macaroni Soup
1294,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
119,715,Side,Fingerfood;Chicken,Chicken with Seaweed
124,206,Drink,Drink;Hot,Chinese Tea
1383,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
372,594,Side,Dimsum;Chicken,Chix Feet
66,594,Side,Fingerfood;Chicken,Chix Wing BP
95,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
374,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
219,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
110,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
552,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
391,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
217,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
37,352,Drink,Drink;Cold,Coke
4,121,Drink,Drink;Cold,Coke Float (Promo)
110,73,Drink,Drink;Cold,Cold / Iced Water
80,594,Side,Bread;Sweet,Condensed & Peanut TT
387,473,Side,Dimsum;Chicken,Custard Bun
76,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
250,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
573,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
44,473,Side,Bread;Savoury,Egg & Ham Sandwich
706,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
139,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
80,788,Side,Bread;Savoury,F.Toast Chicken Floss
290,2364,Side,Bread;Sweet,F.Toast Ice Cream
182,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
1325,1394,Main,Western;Fish,Fish & Chips
915,1394,Main,Bakedrice;Fish,Fish Bk Rice
585,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
450,1273,Main,Spaghetti;Fish,Fish Fillet Spag
1868,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
764,1273,Main,Rice;Fish,Fish Slice Muifan
1916,1030,Main,Porridge;Fish,Fish Slice Por
228,594,Side,Bread;Sweet,French Toast
52,594,Drink,Drink;Cold,Fresh  Lime Juice
194,352,Drink,Drink;Hot,Fresh Soy Milk
453,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
3,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
887,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
93,594,Side,Fingerfood;Chicken,HAM BO LO BUN
238,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
2982,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
110,836,Side,Bread;Pork,Ham Egg Toast N French Fries
752,594,Side,Dimsum;Seafood,Har Gao
75,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
597,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
224,424,Drink,Drink;Hot,Hot Coffee-Tea
64,473,Drink,Drink;Hot,Hot Honey Green Tea
266,473,Drink,Drink;Hot,Hot Honey with Lemon
24,836,Drink,Drink;Cold,ICED MILO FLOAT
164,545,Drink,Drink;Cold,Ice Milo Dinosaur
160,473,Drink,Drink;Cold,Iced Coffee-Tea
25,836,Drink,Drink;Cold,Iced Coffee-Tea Float
47,594,Drink,Drink;Cold,Iced Honey Green Tea
214,594,Drink,Drink;Cold,Iced Lemon Tea
226,667,Drink,Drink;Cold,Iced Lychee Tea
296,473,Drink,Drink;Cold,Iced Milk Tea
22,836,Drink,Drink;Cold,Iced Milk Tea Float
48,667,Drink,Drink;Cold,Iced Peach Tea
85,473,Drink,Drink;Cold,Iced Soy Milk
49,667,Drink,Drink;Cold,Iced Yuzu Tea
63,352,Side,Bread;Sweet,Kaya Butter Bread
93,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
160,206,Drink,Drink;Hot,Kopi
85,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
28,473,Drink,Drink;Hot,LEMON COKE
68,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
22,594,Drink,Drink;Cold,Lime Juice
126,594,Side,Fingerfood;Pork,Luncheon Meat Fries
364,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
88,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
2126,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
64,715,Drink,Drink;Cold,Lychee Ice-blended
700,836,Dessert,Dessert;Cold,Mango Pomelo
302,909,Dessert,Dessert;Cold,Mango SnowIce
256,424,Drink,Drink;Hot,Milk Tea
122,229,Drink,Drink;Hot,Milo
377,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
638,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
542,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
513,788,Side,Dimsum;Pork,Pan Fried Dumpling
141,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
39,1430,Drink,Drink;Cold,Peach Ice-blended
82,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
2280,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
1430,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
373,1394,Main,Rice;Pork,Pork Chop Frag Rice
250,1394,Main,Noodle;Pork,Pork Chop Noodle
776,1030,Main,Porridge;Pork,Pork N Century Egg Congee
1001,1394,Main,Noodle;Pork,Pork Ribs BH
326,1030,Main,Porridge;Pork,Pork n Century Egg Congee
238,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
210,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
89,594,Drink,Drink;Cold,RAINBOW SPRITE
423,594,Side,Dimsum;Pork,Radish Cake
130,909,Dessert,Dessert;Cold,Red Bean Snow
934,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
669,1394,Main,Rice;Pork,SH Pork Chop Rice
468,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
21,594,Drink,Drink;Cold,SOUR PLUM COKE
167,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
1266,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
596,594,Side,Dimsum;Pork,SPRING ROLL
1085,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
678,1151,Main,Porridge;Seafood,Sampan Congee
142,1321,Main,Noodle;Seafood,Seafood Ee Noodle
268,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
465,1273,Main,Rice;Seafood,Seafood Muifan
632,1273,Main,Noodle;Seafood,Seafood Sauteed HF
376,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
453,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
734,545,Side,Dimsum;Seafood;Pork,Siew Mai
2487,1394,Main,Noodle;Pork,Signature Fried Noodles
3195,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
2472,1200,Main,Porridge;Seafood,Sliced Empress Congee
354,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
44,352,Side,Bread,Soft Boiled Eggs
73,836,Side,Soup,Soup Of The Day
566,1030,Main,Porridge;Pork,Spicy Pork Por
299,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
32,352,Drink,Drink;Cold,Sprite
918,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
115,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
130,206,Drink,Drink;Hot,Teh
348,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
299,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
95,182,Side,Addons;Vegetarian,WHITE RICE
286,715,Side,Soup;Pork;Seafood,Wanton Soup
850,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
318,73,Drink,Drink;Hot,Warm Water
128,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
37,715,Drink,Drink;Cold,Watermelon Ice
18,715,Drink,Drink;Cold,Watermelon Ice-Blended
1920,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
204,388,Drink,Drink;Hot,Yuzu Tea
