10,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
6,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
115,1515,Main,BakedRice;Seafood,BAKED RICE EBI
193,545,Side,Dimsum;Pork,BBQ Pork Bun
6,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
13,1273,Main,Western;Chicken,BP Chicken Chop
13,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
32,1273,Main,Western;Chicken,BP Chix Chop & Fries
32,1273,Main,Spaghetti;Chicken,BP Chix Spag
219,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
10,473,Dessert,Dessert;Cold,Beancurd w Mango
10,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
31,352,Side,Bread,Bo Lo Bun
36,594,Side,Soup;Beef,Borsch Soup
38,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
19,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
19,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
70,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
159,1030,Main,Porridge;Pork,Cent Egg Pork Por
159,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
108,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
20,594,Side,Dimsum;Chicken,Chicken Feet
70,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
32,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
6,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
15,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
5,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
57,909,Main,Soup;Chicken,Chicken Macaroni Soup
83,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
20,715,Side,Fingerfood;Chicken,Chicken with Seaweed
13,206,Drink,Drink;Hot,Chinese Tea
38,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
117,594,Side,Dimsum;Chicken,Chix Feet
15,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
31,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
15,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
10,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
19,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
70,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
18,352,Drink,Drink;Cold,Coke
18,73,Drink,Drink;Cold,Cold / Iced Water
41,594,Side,Bread;Sweet,Condensed & Peanut TT
117,473,Side,Dimsum;Chicken,Custard Bun
10,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
25,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
32,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
31,473,Side,Bread;Savoury,Egg & Ham Sandwich
57,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
5,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
51,788,Side,Bread;Savoury,F.Toast Chicken Floss
71,2364,Side,Bread;Sweet,F.Toast Ice Cream
32,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
38,1394,Main,Western;Fish,Fish & Chips
6,1394,Main,Bakedrice;Fish,Fish Bk Rice
19,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
19,1273,Main,Spaghetti;Fish,Fish Fillet Spag
51,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
13,1273,Main,Rice;Fish,Fish Slice Muifan
83,1030,Main,Porridge;Fish,Fish Slice Por
117,594,Side,Bread;Sweet,French Toast
20,594,Drink,Drink;Cold,Fresh  Lime Juice
74,352,Drink,Drink;Hot,Fresh Soy Milk
19,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
25,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
