16,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
60,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
65,1515,Main,BakedRice;Seafood,BAKED RICE EBI
45,545,Side,Dimsum;Pork,BBQ Pork Bun
26,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
27,1273,Main,Western;Chicken,BP Chicken Chop
39,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
57,1273,Main,Western;Chicken,BP Chix Chop & Fries
86,1273,Main,Spaghetti;Chicken,BP Chix Spag
33,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
72,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
9,473,Dessert,Dessert;Cold,Beancurd w Mango
26,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
12,352,Side,Bread,Bo Lo Bun
19,594,Side,Soup;Beef,Borsch Soup
88,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
26,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
41,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
9,836,Drink,Drink;Cold,COKE FLOAT
97,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
44,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
71,1030,Main,Porridge;Pork,Cent Egg Pork Por
300,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
133,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
26,594,Side,Dimsum;Chicken,Chicken Feet
116,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
27,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
53,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
31,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
35,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
20,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
26,909,Main,Soup;Chicken,Chicken Macaroni Soup
61,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
18,715,Side,Fingerfood;Chicken,Chicken with Seaweed
26,206,Drink,Drink;Hot,Chinese Tea
129,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
51,594,Side,Dimsum;Chicken,Chix Feet
9,594,Side,Fingerfood;Chicken,Chix Wing BP
12,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
52,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
31,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
16,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
52,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
37,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
21,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
16,352,Drink,Drink;Cold,Coke
2,121,Drink,Drink;Cold,Coke Float (Promo)
46,73,Drink,Drink;Cold,Cold / Iced Water
11,594,Side,Bread;Sweet,Condensed & Peanut TT
51,473,Side,Dimsum;Chicken,Custard Bun
11,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
35,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
57,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
7,473,Side,Bread;Savoury,Egg & Ham Sandwich
67,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
19,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
11,788,Side,Bread;Savoury,F.Toast Chicken Floss
38,2364,Side,Bread;Sweet,F.Toast Ice Cream
18,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
125,1394,Main,Western;Fish,Fish & Chips
88,1394,Main,Bakedrice;Fish,Fish Bk Rice
56,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
40,1273,Main,Spaghetti;Fish,Fish Fillet Spag
89,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
73,1273,Main,Rice;Fish,Fish Slice Muifan
91,1030,Main,Porridge;Fish,Fish Slice Por
30,594,Side,Bread;Sweet,French Toast
21,594,Drink,Drink;Cold,Fresh  Lime Juice
40,352,Drink,Drink;Hot,Fresh Soy Milk
43,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
0,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
92,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
12,594,Side,Fingerfood;Chicken,HAM BO LO BUN
33,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
139,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
14,836,Side,Bread;Pork,Ham Egg Toast N French Fries
100,594,Side,Dimsum;Seafood,Har Gao
8,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
62,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
49,424,Drink,Drink;Hot,Hot Coffee-Tea
14,473,Drink,Drink;Hot,Hot Honey Green Tea
57,473,Drink,Drink;Hot,Hot Honey with Lemon
10,836,Drink,Drink;Cold,ICED MILO FLOAT
68,545,Drink,Drink;Cold,Ice Milo Dinosaur
68,473,Drink,Drink;Cold,Iced Coffee-Tea
10,836,Drink,Drink;Cold,Iced Coffee-Tea Float
19,594,Drink,Drink;Cold,Iced Honey Green Tea
91,594,Drink,Drink;Cold,Iced Lemon Tea
94,667,Drink,Drink;Cold,Iced Lychee Tea
124,473,Drink,Drink;Cold,Iced Milk Tea
9,836,Drink,Drink;Cold,Iced Milk Tea Float
20,667,Drink,Drink;Cold,Iced Peach Tea
35,473,Drink,Drink;Cold,Iced Soy Milk
22,667,Drink,Drink;Cold,Iced Yuzu Tea
8,352,Side,Bread;Sweet,Kaya Butter Bread
13,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
34,206,Drink,Drink;Hot,Kopi
12,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
6,473,Drink,Drink;Hot,LEMON COKE
9,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
10,594,Drink,Drink;Cold,Lime Juice
18,594,Side,Fingerfood;Pork,Luncheon Meat Fries
37,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
13,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
102,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
26,715,Drink,Drink;Cold,Lychee Ice-blended
70,836,Dessert,Dessert;Cold,Mango Pomelo
31,909,Dessert,Dessert;Cold,Mango SnowIce
54,424,Drink,Drink;Hot,Milk Tea
26,229,Drink,Drink;Hot,Milo
51,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
