11,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
53,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
66,1515,Main,BakedRice;Seafood,BAKED RICE EBI
57,545,Side,Dimsum;Pork,BBQ Pork Bun
29,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
22,1273,Main,Western;Chicken,BP Chicken Chop
37,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
51,1273,Main,Western;Chicken,BP Chix Chop & Fries
93,1273,Main,Spaghetti;Chicken,BP Chix Spag
26,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
96,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
9,473,Dessert,Dessert;Cold,Beancurd w Mango
17,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
11,352,Side,Bread,Bo Lo Bun
10,594,Side,Soup;Beef,Borsch Soup
93,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
35,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
42,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
6,836,Drink,Drink;Cold,COKE FLOAT
85,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
46,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
78,1030,Main,Porridge;Pork,Cent Egg Pork Por
274,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
142,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
24,594,Side,Dimsum;Chicken,Chicken Feet
92,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
28,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
41,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
35,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
32,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
17,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
27,909,Main,Soup;Chicken,Chicken Macaroni Soup
73,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
17,715,Side,Fingerfood;Chicken,Chicken with Seaweed
29,206,Drink,Drink;Hot,Chinese Tea
113,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
61,594,Side,Dimsum;Chicken,Chix Feet
8,594,Side,Fingerfood;Chicken,Chix Wing BP
13,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
40,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
22,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
15,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
60,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
37,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
18,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
19,352,Drink,Drink;Cold,Coke
3,121,Drink,Drink;Cold,Coke Float (Promo)
43,73,Drink,Drink;Cold,Cold / Iced Water
18,594,Side,Bread;Sweet,Condensed & Peanut TT
53,473,Side,Dimsum;Chicken,Custard Bun
16,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
24,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
53,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
8,473,Side,Bread;Savoury,Egg & Ham Sandwich
59,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
14,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
16,788,Side,Bread;Savoury,F.Toast Chicken Floss
28,2364,Side,Bread;Sweet,F.Toast Ice Cream
26,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
121,1394,Main,Western;Fish,Fish & Chips
72,1394,Main,Bakedrice;Fish,Fish Bk Rice
65,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
37,1273,Main,Spaghetti;Fish,Fish Fillet Spag
96,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
57,1273,Main,Rice;Fish,Fish Slice Muifan
82,1030,Main,Porridge;Fish,Fish Slice Por
25,594,Side,Bread;Sweet,French Toast
23,594,Drink,Drink;Cold,Fresh  Lime Juice
38,352,Drink,Drink;Hot,Fresh Soy Milk
42,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
6,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
63,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
10,594,Side,Fingerfood;Chicken,HAM BO LO BUN
26,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
94,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
21,836,Side,Bread;Pork,Ham Egg Toast N French Fries
116,594,Side,Dimsum;Seafood,Har Gao
8,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
35,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
101,424,Drink,Drink;Hot,Hot Coffee-Tea
12,473,Drink,Drink;Hot,Hot Honey Green Tea
49,473,Drink,Drink;Hot,Hot Honey with Lemon
7,836,Drink,Drink;Cold,ICED MILO FLOAT
58,545,Drink,Drink;Cold,Ice Milo Dinosaur
87,473,Drink,Drink;Cold,Iced Coffee-Tea
9,836,Drink,Drink;Cold,Iced Coffee-Tea Float
16,594,Drink,Drink;Cold,Iced Honey Green Tea
76,594,Drink,Drink;Cold,Iced Lemon Tea
94,667,Drink,Drink;Cold,Iced Lychee Tea
142,473,Drink,Drink;Cold,Iced Milk Tea
7,836,Drink,Drink;Cold,Iced Milk Tea Float
16,667,Drink,Drink;Cold,Iced Peach Tea
37,473,Drink,Drink;Cold,Iced Soy Milk
22,667,Drink,Drink;Cold,Iced Yuzu Tea
10,352,Side,Bread;Sweet,Kaya Butter Bread
20,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
66,206,Drink,Drink;Hot,Kopi
20,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
5,473,Drink,Drink;Hot,LEMON COKE
7,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
9,594,Drink,Drink;Cold,Lime Juice
