uscore,price,item_type,item_cat,item_desc
199,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
625,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
333,1515,Main,BakedRice;Seafood,BAKED RICE EBI
607,545,Side,Dimsum;Pork,BBQ Pork Bun
250,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
208,1273,Main,Western;Chicken,BP Chicken Chop
305,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
597,1273,Main,Western;Chicken,BP Chix Chop & Fries
666,1273,Main,Spaghetti;Chicken,BP Chix Spag
305,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
1015,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
76,473,Dessert,Dessert;Cold,Beancurd w Mango
148,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
26,352,Side,Bread,Bo Lo Bun
52,594,Side,Soup;Beef,Borsch Soup
1041,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
403,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
417,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
11,836,Drink,Drink;Cold,COKE FLOAT
1069,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
555,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
722,1030,Main,Porridge;Pork,Cent Egg Pork Por
2222,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1236,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
269,594,Side,Dimsum;Chicken,Chicken Feet
819,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
167,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
319,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
458,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
130,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
191,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
167,909,Main,Soup;Chicken,Chicken Macaroni Soup
625,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
87,715,Side,Fingerfood;Chicken,Chicken with Seaweed
88,206,Drink,Drink;Hot,Chinese Tea
750,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
564,594,Side,Dimsum;Chicken,Chix Feet
113,594,Side,Fingerfood;Chicken,Chix Wing BP
104,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
390,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
174,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
69,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
486,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
222,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
408,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
42,352,Drink,Drink;Cold,Coke
5,121,Drink,Drink;Cold,Coke Float (Promo)
105,73,Drink,Drink;Cold,Cold / Iced Water
165,594,Side,Bread;Sweet,Condensed & Peanut TT
651,473,Side,Dimsum;Chicken,Custard Bun
130,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
286,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
611,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
35,473,Side,Bread;Savoury,Egg & Ham Sandwich
430,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
87,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
148,788,Side,Bread;Savoury,F.Toast Chicken Floss
174,2364,Side,Bread;Sweet,F.Toast Ice Cream
181,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
1014,1394,Main,Western;Fish,Fish & Chips
528,1394,Main,Bakedrice;Fish,Fish Bk Rice
944,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
153,1273,Main,Spaghetti;Fish,Fish Fillet Spag
