uscore,price,item_type,item_cat,item_desc
277,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
348,1515,Main,BakedRice;Seafood,BAKED RICE EBI
421,545,Side,Dimsum;Pork,BBQ Pork Bun
1044,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
348,1273,Main,Western;Chicken,BP Chix Chop & Fries
1392,1273,Main,Spaghetti;Chicken,BP Chix Spag
348,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
757,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
84,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
84,352,Side,Bread,Bo Lo Bun
1392,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
348,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
1739,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
2784,1030,Main,Porridge;Pork,Cent Egg Pork Por
1044,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
348,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
2087,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
348,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
2088,909,Main,Soup;Chicken,Chicken Macaroni Soup
1392,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
212,206,Drink,Drink;Hot,Chinese Tea
1044,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
589,594,Side,Dimsum;Chicken,Chix Feet
84,594,Side,Fingerfood;Chicken,Chix Wing BP
348,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
348,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
277,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
53,352,Drink,Drink;Cold,Coke
27,73,Drink,Drink;Cold,Cold / Iced Water
168,594,Side,Bread;Sweet,Condensed & Peanut TT
336,473,Side,Dimsum;Chicken,Custard Bun
84,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
168,473,Side,Bread;Savoury,Egg & Ham Sandwich
168,2364,Side,Bread;Sweet,F.Toast Ice Cream
1392,1394,Main,Western;Fish,Fish & Chips
1392,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
1392,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
696,1273,Main,Rice;Fish,Fish Slice Muifan
2088,1030,Main,Porridge;Fish,Fish Slice Por
84,594,Side,Bread;Sweet,French Toast
212,352,Drink,Drink;Hot,Fresh Soy Milk
252,594,Side,Fingerfood;Chicken,HAM BO LO BUN
1392,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
925,594,Side,Dimsum;Seafood,Har Gao
277,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
744,424,Drink,Drink;Hot,Hot Coffee-Tea
54,473,Drink,Drink;Hot,Hot Honey Green Tea
212,473,Drink,Drink;Hot,Hot Honey with Lemon
53,545,Drink,Drink;Cold,Ice Milo Dinosaur
106,473,Drink,Drink;Cold,Iced Coffee-Tea
27,836,Drink,Drink;Cold,Iced Coffee-Tea Float
27,594,Drink,Drink;Cold,Iced Honey Green Tea
27,594,Drink,Drink;Cold,Iced Lemon Tea
53,667,Drink,Drink;Cold,Iced Lychee Tea
133,473,Drink,Drink;Cold,Iced Milk Tea
80,473,Drink,Drink;Cold,Iced Soy Milk
252,352,Side,Bread;Sweet,Kaya Butter Bread
84,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
478,206,Drink,Drink;Hot,Kopi
168,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
54,473,Drink,Drink;Hot,LEMON COKE
696,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
84,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
696,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
277,836,Dessert,Dessert;Cold,Mango Pomelo
277,909,Dessert,Dessert;Cold,Mango SnowIce
426,424,Drink,Drink;Hot,Milk Tea
106,229,Drink,Drink;Hot,Milo
348,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
505,788,Side,Dimsum;Pork,Pan Fried Dumpling
