uscore,price,item_type,item_cat,item_desc
420,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
225,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
112,1515,Main,BakedRice;Seafood,BAKED RICE EBI
2276,545,Side,Dimsum;Pork,BBQ Pork Bun
169,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
94,1273,Main,Western;Chicken,BP Chicken Chop
122,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
178,1273,Main,Western;Chicken,BP Chix Chop & Fries
309,1273,Main,Spaghetti;Chicken,BP Chix Spag
215,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
4612,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
119,473,Dessert,Dessert;Cold,Beancurd w Mango
1629,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
706,352,Side,Bread,Bo Lo Bun
667,594,Side,Soup;Beef,Borsch Soup
440,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
159,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
169,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
8,836,Drink,Drink;Cold,COKE FLOAT
740,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
290,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
637,1030,Main,Porridge;Pork,Cent Egg Pork Por
1292,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
580,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
1374,594,Side,Dimsum;Chicken,Chicken Feet
449,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
449,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
215,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
197,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
1511,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
510,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
103,909,Main,Soup;Chicken,Chicken Macaroni Soup
365,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
510,715,Side,Fingerfood;Chicken,Chicken with Seaweed
113,206,Drink,Drink;Hot,Chinese Tea
440,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
