uscore,price,item_type,item_cat,item_desc
616,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
983,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
328,1273,Main,Western;Chicken,BP Chix Chop & Fries
655,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
174,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
174,352,Side,Bread,Bo Lo Bun
87,594,Side,Soup;Beef,Borsch Soup
328,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
328,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
328,1030,Main,Porridge;Pork,Cent Egg Pork Por
655,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
655,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
328,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
655,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
174,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
174,715,Side,Fingerfood;Chicken,Chicken with Seaweed
84,206,Drink,Drink;Hot,Chinese Tea
655,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
261,594,Side,Fingerfood;Chicken,Chix Wing BP
87,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
174,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
174,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
655,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
616,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
84,73,Drink,Drink;Cold,Cold / Iced Water
348,473,Side,Dimsum;Chicken,Custard Bun
87,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
328,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
87,473,Side,Bread;Savoury,Egg & Ham Sandwich
328,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
174,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
261,2364,Side,Bread;Sweet,F.Toast Ice Cream
328,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
655,1394,Main,Western;Fish,Fish & Chips
328,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
655,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
328,1273,Main,Rice;Fish,Fish Slice Muifan
87,594,Side,Bread;Sweet,French Toast
84,594,Drink,Drink;Cold,Fresh  Lime Juice
141,352,Drink,Drink;Hot,Fresh Soy Milk
328,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
87,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
87,836,Side,Bread;Pork,Ham Egg Toast N French Fries
87,594,Side,Dimsum;Seafood,Har Gao
205,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
84,424,Drink,Drink;Hot,Hot Coffee-Tea
28,473,Drink,Drink;Hot,Hot Honey Green Tea
310,473,Drink,Drink;Hot,Hot Honey with Lemon
56,836,Drink,Drink;Cold,ICED MILO FLOAT
56,545,Drink,Drink;Cold,Ice Milo Dinosaur
253,473,Drink,Drink;Cold,Iced Coffee-Tea
56,836,Drink,Drink;Cold,Iced Coffee-Tea Float
56,594,Drink,Drink;Cold,Iced Honey Green Tea
28,594,Drink,Drink;Cold,Iced Lemon Tea
