12,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
77,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
51,1515,Main,BakedRice;Seafood,BAKED RICE EBI
44,545,Side,Dimsum;Pork,BBQ Pork Bun
29,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
20,1273,Main,Western;Chicken,BP Chicken Chop
41,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
46,1273,Main,Western;Chicken,BP Chix Chop & Fries
107,1273,Main,Spaghetti;Chicken,BP Chix Spag
41,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
79,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
7,473,Dessert,Dessert;Cold,Beancurd w Mango
17,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
11,352,Side,Bread,Bo Lo Bun
8,594,Side,Soup;Beef,Borsch Soup
102,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
35,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
48,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
6,836,Drink,Drink;Cold,COKE FLOAT
53,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
46,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
63,1030,Main,Porridge;Pork,Cent Egg Pork Por
265,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
181,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
19,594,Side,Dimsum;Chicken,Chicken Feet
68,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
21,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
34,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
50,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
22,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
13,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
27,909,Main,Soup;Chicken,Chicken Macaroni Soup
110,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
12,715,Side,Fingerfood;Chicken,Chicken with Seaweed
24,206,Drink,Drink;Hot,Chinese Tea
106,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
65,594,Side,Dimsum;Chicken,Chix Feet
7,594,Side,Fingerfood;Chicken,Chix Wing BP
16,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
36,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
18,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
13,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
74,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
43,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
23,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
16,352,Drink,Drink;Cold,Coke
4,121,Drink,Drink;Cold,Coke Float (Promo)
53,73,Drink,Drink;Cold,Cold / Iced Water
18,594,Side,Bread;Sweet,Condensed & Peanut TT
62,473,Side,Dimsum;Chicken,Custard Bun
17,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
19,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
69,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
5,473,Side,Bread;Savoury,Egg & Ham Sandwich
103,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
17,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
17,788,Side,Bread;Savoury,F.Toast Chicken Floss
29,2364,Side,Bread;Sweet,F.Toast Ice Cream
36,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
72,1394,Main,Western;Fish,Fish & Chips
53,1394,Main,Bakedrice;Fish,Fish Bk Rice
55,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
20,1273,Main,Spaghetti;Fish,Fish Fillet Spag
110,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
56,1273,Main,Rice;Fish,Fish Slice Muifan
62,1030,Main,Porridge;Fish,Fish Slice Por
34,594,Side,Bread;Sweet,French Toast
24,594,Drink,Drink;Cold,Fresh  Lime Juice
40,352,Drink,Drink;Hot,Fresh Soy Milk
42,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
13,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
55,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
18,594,Side,Fingerfood;Chicken,HAM BO LO BUN
24,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
55,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
13,836,Side,Bread;Pork,Ham Egg Toast N French Fries
88,594,Side,Dimsum;Seafood,Har Gao
5,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
33,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
90,424,Drink,Drink;Hot,Hot Coffee-Tea
11,473,Drink,Drink;Hot,Hot Honey Green Tea
44,473,Drink,Drink;Hot,Hot Honey with Lemon
3,836,Drink,Drink;Cold,ICED MILO FLOAT
30,545,Drink,Drink;Cold,Ice Milo Dinosaur
153,473,Drink,Drink;Cold,Iced Coffee-Tea
17,836,Drink,Drink;Cold,Iced Coffee-Tea Float
21,594,Drink,Drink;Cold,Iced Honey Green Tea
78,594,Drink,Drink;Cold,Iced Lemon Tea
95,667,Drink,Drink;Cold,Iced Lychee Tea
181,473,Drink,Drink;Cold,Iced Milk Tea
12,836,Drink,Drink;Cold,Iced Milk Tea Float
12,667,Drink,Drink;Cold,Iced Peach Tea
34,473,Drink,Drink;Cold,Iced Soy Milk
27,667,Drink,Drink;Cold,Iced Yuzu Tea
12,352,Side,Bread;Sweet,Kaya Butter Bread
11,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
55,206,Drink,Drink;Hot,Kopi
18,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
4,473,Drink,Drink;Hot,LEMON COKE
10,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
9,594,Drink,Drink;Cold,Lime Juice
29,594,Side,Fingerfood;Pork,Luncheon Meat Fries
20,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
10,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
71,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
22,715,Drink,Drink;Cold,Lychee Ice-blended
42,836,Dessert,Dessert;Cold,Mango Pomelo
22,909,Dessert,Dessert;Cold,Mango SnowIce
74,424,Drink,Drink;Hot,Milk Tea
16,229,Drink,Drink;Hot,Milo
34,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
37,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
17,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
64,788,Side,Dimsum;Pork,Pan Fried Dumpling
11,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
10,1430,Drink,Drink;Cold,Peach Ice-blended
8,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
272,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
153,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
41,1394,Main,Rice;Pork,Pork Chop Frag Rice
28,1394,Main,Noodle;Pork,Pork Chop Noodle
20,1030,Main,Porridge;Pork,Pork N Century Egg Congee
106,1394,Main,Noodle;Pork,Pork Ribs BH
6,1030,Main,Porridge;Pork,Pork n Century Egg Congee
38,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
21,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
19,594,Drink,Drink;Cold,RAINBOW SPRITE
56,594,Side,Dimsum;Pork,Radish Cake
11,909,Dessert,Dessert;Cold,Red Bean Snow
66,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
74,1394,Main,Rice;Pork,SH Pork Chop Rice
63,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
11,594,Drink,Drink;Cold,SOUR PLUM COKE
7,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
83,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
60,594,Side,Dimsum;Pork,SPRING ROLL
102,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
28,1151,Main,Porridge;Seafood,Sampan Congee
11,1321,Main,Noodle;Seafood,Seafood Ee Noodle
17,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
50,1273,Main,Rice;Seafood,Seafood Muifan
56,1273,Main,Noodle;Seafood,Seafood Sauteed HF
21,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
29,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
111,545,Side,Dimsum;Seafood;Pork,Siew Mai
265,1394,Main,Noodle;Pork,Signature Fried Noodles
333,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
92,1200,Main,Porridge;Seafood,Sliced Empress Congee
20,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
10,352,Side,Bread,Soft Boiled Eggs
9,836,Side,Soup,Soup Of The Day
28,1030,Main,Porridge;Pork,Spicy Pork Por
39,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
7,352,Drink,Drink;Cold,Sprite
51,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
20,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
25,206,Drink,Drink;Hot,Teh
34,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
33,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
6,182,Side,Addons;Vegetarian,WHITE RICE
17,715,Side,Soup;Pork;Seafood,Wanton Soup
75,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
62,73,Drink,Drink;Hot,Warm Water
7,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
15,715,Drink,Drink;Cold,Watermelon Ice
7,715,Drink,Drink;Cold,Watermelon Ice-Blended
203,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
44,388,Drink,Drink;Hot,Yuzu Tea
