uscore,price,item_type,item_cat,item_desc
425,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
197,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
225,1515,Main,BakedRice;Seafood,BAKED RICE EBI
741,545,Side,Dimsum;Pork,BBQ Pork Bun
113,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
113,1273,Main,Western;Chicken,BP Chicken Chop
394,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
84,1273,Main,Western;Chicken,BP Chix Chop & Fries
225,1273,Main,Spaghetti;Chicken,BP Chix Spag
197,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
1162,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
390,473,Dessert,Dessert;Cold,Beancurd w Mango
200,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
361,352,Side,Bread,Bo Lo Bun
361,594,Side,Soup;Beef,Borsch Soup
619,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
169,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
197,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
31,836,Drink,Drink;Cold,COKE FLOAT
197,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
141,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
394,1030,Main,Porridge;Pork,Cent Egg Pork Por
1323,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
788,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
581,594,Side,Dimsum;Chicken,Chicken Feet
141,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
56,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
28,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
197,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
441,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
140,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
338,909,Main,Soup;Chicken,Chicken Macaroni Soup
591,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
641,715,Side,Fingerfood;Chicken,Chicken with Seaweed
56,206,Drink,Drink;Hot,Chinese Tea
197,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
421,594,Side,Dimsum;Chicken,Chix Feet
240,594,Side,Fingerfood;Chicken,Chix Wing BP
100,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
801,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
160,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
220,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
141,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
366,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
248,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
38,352,Drink,Drink;Cold,Coke
5,121,Drink,Drink;Cold,Coke Float (Promo)
213,73,Drink,Drink;Cold,Cold / Iced Water
100,594,Side,Bread;Sweet,Condensed & Peanut TT
982,473,Side,Dimsum;Chicken,Custard Bun
300,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
160,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
281,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
220,473,Side,Bread;Savoury,Egg & Ham Sandwich
704,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
561,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
341,788,Side,Bread;Savoury,F.Toast Chicken Floss
641,2364,Side,Bread;Sweet,F.Toast Ice Cream
169,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
619,1394,Main,Western;Fish,Fish & Chips
197,1394,Main,Bakedrice;Fish,Fish Bk Rice
169,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
84,1273,Main,Spaghetti;Fish,Fish Fillet Spag
