13,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
64,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
32,1515,Main,BakedRice;Seafood,BAKED RICE EBI
79,545,Side,Dimsum;Pork,BBQ Pork Bun
21,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
18,1273,Main,Western;Chicken,BP Chicken Chop
29,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
38,1273,Main,Western;Chicken,BP Chix Chop & Fries
81,1273,Main,Spaghetti;Chicken,BP Chix Spag
27,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
115,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
9,473,Dessert,Dessert;Cold,Beancurd w Mango
27,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
22,352,Side,Bread,Bo Lo Bun
23,594,Side,Soup;Beef,Borsch Soup
72,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
30,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
37,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
5,836,Drink,Drink;Cold,COKE FLOAT
54,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
42,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
64,1030,Main,Porridge;Pork,Cent Egg Pork Por
219,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
142,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
29,594,Side,Dimsum;Chicken,Chicken Feet
56,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
18,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
33,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
30,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
35,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
9,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
34,909,Main,Soup;Chicken,Chicken Macaroni Soup
102,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
21,715,Side,Fingerfood;Chicken,Chicken with Seaweed
25,206,Drink,Drink;Hot,Chinese Tea
76,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
84,594,Side,Dimsum;Chicken,Chix Feet
8,594,Side,Fingerfood;Chicken,Chix Wing BP
13,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
47,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
26,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
18,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
45,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
38,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
17,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
14,352,Drink,Drink;Cold,Coke
15,121,Drink,Drink;Cold,Coke Float (Promo)
55,73,Drink,Drink;Cold,Cold / Iced Water
21,594,Side,Bread;Sweet,Condensed & Peanut TT
86,473,Side,Dimsum;Chicken,Custard Bun
60,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
22,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
73,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
12,473,Side,Bread;Savoury,Egg & Ham Sandwich
84,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
28,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
21,788,Side,Bread;Savoury,F.Toast Chicken Floss
40,2364,Side,Bread;Sweet,F.Toast Ice Cream
28,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
59,1394,Main,Western;Fish,Fish & Chips
46,1394,Main,Bakedrice;Fish,Fish Bk Rice
39,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
24,1273,Main,Spaghetti;Fish,Fish Fillet Spag
99,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
54,1273,Main,Rice;Fish,Fish Slice Muifan
61,1030,Main,Porridge;Fish,Fish Slice Por
