uscore,price,item_type,item_cat,item_desc
2486,1273,Main,Western;Chicken,BP Chix Chop & Fries
1516,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
758,594,Side,Soup;Beef,Borsch Soup
2486,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
2486,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
2486,1030,Main,Porridge;Pork,Cent Egg Pork Por
2486,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1516,594,Side,Dimsum;Chicken,Chix Feet
758,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
224,352,Drink,Drink;Cold,Coke
224,73,Drink,Drink;Cold,Cold / Iced Water
758,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
758,2364,Side,Bread;Sweet,F.Toast Ice Cream
2486,1394,Main,Bakedrice;Fish,Fish Bk Rice
2486,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
1516,594,Side,Dimsum;Seafood,Har Gao
672,424,Drink,Drink;Hot,Hot Coffee-Tea
224,545,Drink,Drink;Cold,Ice Milo Dinosaur
224,473,Drink,Drink;Cold,Iced Soy Milk
224,667,Drink,Drink;Cold,Iced Yuzu Tea
758,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
224,594,Drink,Drink;Cold,Lime Juice
1706,836,Dessert,Dessert;Cold,Mango Pomelo
224,229,Drink,Drink;Hot,Milo
2486,1030,Main,Porridge;Pork,Pork n Century Egg Congee
758,594,Side,Dimsum;Pork,Radish Cake
758,594,Side,Dimsum;Pork,SPRING ROLL
4971,1394,Main,Noodle;Pork,Signature Fried Noodles
758,352,Side,Bread,Soft Boiled Eggs
4971,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
758,715,Side,Soup;Pork;Seafood,Wanton Soup
224,73,Drink,Drink;Hot,Warm Water
224,715,Drink,Drink;Cold,Watermelon Ice
224,715,Drink,Drink;Cold,Watermelon Ice-Blended
