uscore,price,item_type,item_cat,item_desc
59,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
74,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
111,1515,Main,BakedRice;Seafood,BAKED RICE EBI
2319,545,Side,Dimsum;Pork,BBQ Pork Bun
74,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
37,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
186,1273,Main,Western;Chicken,BP Chix Chop & Fries
111,1273,Main,Spaghetti;Chicken,BP Chix Spag
149,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
1917,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
62,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
340,352,Side,Bread,Bo Lo Bun
155,594,Side,Soup;Beef,Borsch Soup
371,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
149,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
6,836,Drink,Drink;Cold,COKE FLOAT
297,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
186,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
1486,1030,Main,Porridge;Pork,Cent Egg Pork Por
1077,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
706,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
247,594,Side,Dimsum;Chicken,Chicken Feet
594,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
37,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
260,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
111,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
309,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
93,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
594,909,Main,Soup;Chicken,Chicken Macaroni Soup
594,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
93,715,Side,Fingerfood;Chicken,Chicken with Seaweed
