47,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
20,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
22,1515,Main,BakedRice;Seafood,BAKED RICE EBI
74,545,Side,Dimsum;Pork,BBQ Pork Bun
12,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
15,1273,Main,Western;Chicken,BP Chicken Chop
37,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
7,1273,Main,Western;Chicken,BP Chix Chop & Fries
22,1273,Main,Spaghetti;Chicken,BP Chix Spag
17,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
133,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
45,473,Dessert,Dessert;Cold,Beancurd w Mango
23,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
43,352,Side,Bread,Bo Lo Bun
37,594,Side,Soup;Beef,Borsch Soup
54,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
22,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
17,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
13,836,Drink,Drink;Cold,COKE FLOAT
17,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
15,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
39,1030,Main,Porridge;Pork,Cent Egg Pork Por
120,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
86,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
61,594,Side,Dimsum;Chicken,Chicken Feet
12,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
5,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
2,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
17,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
47,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
16,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
37,909,Main,Soup;Chicken,Chicken Macaroni Soup
56,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
63,715,Side,Fingerfood;Chicken,Chicken with Seaweed
25,206,Drink,Drink;Hot,Chinese Tea
17,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
43,594,Side,Dimsum;Chicken,Chix Feet
29,594,Side,Fingerfood;Chicken,Chix Wing BP
10,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
88,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
18,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
22,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
17,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
32,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
33,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
16,352,Drink,Drink;Cold,Coke
2,121,Drink,Drink;Cold,Coke Float (Promo)
92,73,Drink,Drink;Cold,Cold / Iced Water
10,594,Side,Bread;Sweet,Condensed & Peanut TT
106,473,Side,Dimsum;Chicken,Custard Bun
29,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
22,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
29,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
25,473,Side,Bread;Savoury,Egg & Ham Sandwich
71,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
57,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
37,788,Side,Bread;Savoury,F.Toast Chicken Floss
66,2364,Side,Bread;Sweet,F.Toast Ice Cream
17,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
56,1394,Main,Western;Fish,Fish & Chips
17,1394,Main,Bakedrice;Fish,Fish Bk Rice
15,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
10,1273,Main,Spaghetti;Fish,Fish Fillet Spag
22,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
15,1273,Main,Rice;Fish,Fish Slice Muifan
17,1030,Main,Porridge;Fish,Fish Slice Por
98,594,Side,Bread;Sweet,French Toast
11,594,Drink,Drink;Cold,Fresh  Lime Juice
52,352,Drink,Drink;Hot,Fresh Soy Milk
20,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
29,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
65,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
33,594,Side,Fingerfood;Chicken,HAM BO LO BUN
47,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
59,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
43,836,Side,Bread;Pork,Ham Egg Toast N French Fries
109,594,Side,Dimsum;Seafood,Har Gao
22,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
35,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
45,424,Drink,Drink;Hot,Hot Coffee-Tea
24,473,Drink,Drink;Hot,Hot Honey Green Tea
67,473,Drink,Drink;Hot,Hot Honey with Lemon
5,836,Drink,Drink;Cold,ICED MILO FLOAT
40,545,Drink,Drink;Cold,Ice Milo Dinosaur
204,473,Drink,Drink;Cold,Iced Coffee-Tea
13,836,Drink,Drink;Cold,Iced Coffee-Tea Float
32,594,Drink,Drink;Cold,Iced Honey Green Tea
75,594,Drink,Drink;Cold,Iced Lemon Tea
132,667,Drink,Drink;Cold,Iced Lychee Tea
332,473,Drink,Drink;Cold,Iced Milk Tea
21,836,Drink,Drink;Cold,Iced Milk Tea Float
27,667,Drink,Drink;Cold,Iced Peach Tea
54,473,Drink,Drink;Cold,Iced Soy Milk
29,667,Drink,Drink;Cold,Iced Yuzu Tea
59,352,Side,Bread;Sweet,Kaya Butter Bread
45,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
17,206,Drink,Drink;Hot,Kopi
86,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
7,473,Drink,Drink;Hot,LEMON COKE
23,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
11,594,Drink,Drink;Cold,Lime Juice
33,594,Side,Fingerfood;Pork,Luncheon Meat Fries
29,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
90,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
51,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
28,715,Drink,Drink;Cold,Lychee Ice-blended
174,836,Dessert,Dessert;Cold,Mango Pomelo
51,909,Dessert,Dessert;Cold,Mango SnowIce
70,424,Drink,Drink;Hot,Milk Tea
