44,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
32,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
19,1515,Main,BakedRice;Seafood,BAKED RICE EBI
82,545,Side,Dimsum;Pork,BBQ Pork Bun
22,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
22,1273,Main,Western;Chicken,BP Chicken Chop
64,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
13,1273,Main,Western;Chicken,BP Chix Chop & Fries
32,1273,Main,Spaghetti;Chicken,BP Chix Spag
19,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
92,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
39,473,Dessert,Dessert;Cold,Beancurd w Mango
13,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
36,352,Side,Bread,Bo Lo Bun
31,594,Side,Soup;Beef,Borsch Soup
64,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
13,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
45,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
5,836,Drink,Drink;Cold,COKE FLOAT
48,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
42,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
42,1030,Main,Porridge;Pork,Cent Egg Pork Por
222,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
135,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
33,594,Side,Dimsum;Chicken,Chicken Feet
16,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
10,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
16,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
67,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
26,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
35,909,Main,Soup;Chicken,Chicken Macaroni Soup
58,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
67,715,Side,Fingerfood;Chicken,Chicken with Seaweed
28,206,Drink,Drink;Hot,Chinese Tea
55,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
41,594,Side,Dimsum;Chicken,Chix Feet
28,594,Side,Fingerfood;Chicken,Chix Wing BP
13,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
82,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
21,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
33,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
42,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
29,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
13,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
14,352,Drink,Drink;Cold,Coke
3,121,Drink,Drink;Cold,Coke Float (Promo)
107,73,Drink,Drink;Cold,Cold / Iced Water
21,594,Side,Bread;Sweet,Condensed & Peanut TT
67,473,Side,Dimsum;Chicken,Custard Bun
31,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
15,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
48,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
15,473,Side,Bread;Savoury,Egg & Ham Sandwich
64,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
59,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
23,788,Side,Bread;Savoury,F.Toast Chicken Floss
64,2364,Side,Bread;Sweet,F.Toast Ice Cream
22,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
64,1394,Main,Western;Fish,Fish & Chips
51,1394,Main,Bakedrice;Fish,Fish Bk Rice
16,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
22,1273,Main,Spaghetti;Fish,Fish Fillet Spag
55,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
16,1273,Main,Rice;Fish,Fish Slice Muifan
16,1030,Main,Porridge;Fish,Fish Slice Por
87,594,Side,Bread;Sweet,French Toast
19,594,Drink,Drink;Cold,Fresh  Lime Juice
51,352,Drink,Drink;Hot,Fresh Soy Milk
45,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
13,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
51,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
31,594,Side,Fingerfood;Chicken,HAM BO LO BUN
23,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
58,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
13,836,Side,Bread;Pork,Ham Egg Toast N French Fries
128,594,Side,Dimsum;Seafood,Har Gao
18,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
36,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
68,424,Drink,Drink;Hot,Hot Coffee-Tea
21,473,Drink,Drink;Hot,Hot Honey Green Tea
76,473,Drink,Drink;Hot,Hot Honey with Lemon
6,836,Drink,Drink;Cold,ICED MILO FLOAT
41,545,Drink,Drink;Cold,Ice Milo Dinosaur
180,473,Drink,Drink;Cold,Iced Coffee-Tea
33,836,Drink,Drink;Cold,Iced Coffee-Tea Float
40,594,Drink,Drink;Cold,Iced Honey Green Tea
90,594,Drink,Drink;Cold,Iced Lemon Tea
149,667,Drink,Drink;Cold,Iced Lychee Tea
313,473,Drink,Drink;Cold,Iced Milk Tea
9,836,Drink,Drink;Cold,Iced Milk Tea Float
30,667,Drink,Drink;Cold,Iced Peach Tea
54,473,Drink,Drink;Cold,Iced Soy Milk
17,667,Drink,Drink;Cold,Iced Yuzu Tea
46,352,Side,Bread;Sweet,Kaya Butter Bread
8,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
24,206,Drink,Drink;Hot,Kopi
64,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
6,473,Drink,Drink;Hot,LEMON COKE
15,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
13,594,Drink,Drink;Cold,Lime Juice
26,594,Side,Fingerfood;Pork,Luncheon Meat Fries
39,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
67,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
61,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
35,715,Drink,Drink;Cold,Lychee Ice-blended
134,836,Dessert,Dessert;Cold,Mango Pomelo
39,909,Dessert,Dessert;Cold,Mango SnowIce
53,424,Drink,Drink;Hot,Milk Tea
19,229,Drink,Drink;Hot,Milo
41,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
6,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
10,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
87,788,Side,Dimsum;Pork,Pan Fried Dumpling
21,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
21,1430,Drink,Drink;Cold,Peach Ice-blended
62,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
87,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
64,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
16,1394,Main,Rice;Pork,Pork Chop Frag Rice
22,1394,Main,Noodle;Pork,Pork Chop Noodle
39,1030,Main,Porridge;Pork,Pork N Century Egg Congee
16,1394,Main,Noodle;Pork,Pork Ribs BH
16,1030,Main,Porridge;Pork,Pork n Century Egg Congee
49,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
22,594,Drink,Drink;Cold,RAINBOW SPRITE
62,594,Side,Dimsum;Pork,Radish Cake
15,909,Dessert,Dessert;Cold,Red Bean Snow
48,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
19,1394,Main,Rice;Pork,SH Pork Chop Rice
39,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
19,594,Drink,Drink;Cold,SOUR PLUM COKE
36,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
77,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
92,594,Side,Dimsum;Pork,SPRING ROLL
55,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
13,1151,Main,Porridge;Seafood,Sampan Congee
26,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
22,1273,Main,Rice;Seafood,Seafood Muifan
32,1273,Main,Noodle;Seafood,Seafood Sauteed HF
