43,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
82,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
70,1515,Main,BakedRice;Seafood,BAKED RICE EBI
99,545,Side,Dimsum;Pork,BBQ Pork Bun
45,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
21,1273,Main,Western;Chicken,BP Chicken Chop
16,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
33,1273,Main,Western;Chicken,BP Chix Chop & Fries
58,1273,Main,Spaghetti;Chicken,BP Chix Spag
4,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
105,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
40,473,Dessert,Dessert;Cold,Beancurd w Mango
10,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
66,352,Side,Bread,Bo Lo Bun
26,594,Side,Soup;Beef,Borsch Soup
82,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
21,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
33,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
15,836,Drink,Drink;Cold,COKE FLOAT
25,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
41,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
41,1030,Main,Porridge;Pork,Cent Egg Pork Por
194,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
58,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
53,594,Side,Dimsum;Chicken,Chicken Feet
78,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
4,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
70,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
8,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
66,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
16,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
4,909,Main,Soup;Chicken,Chicken Macaroni Soup
21,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
56,715,Side,Fingerfood;Chicken,Chicken with Seaweed
20,206,Drink,Drink;Hot,Chinese Tea
95,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
181,594,Side,Dimsum;Chicken,Chix Feet
36,594,Side,Fingerfood;Chicken,Chix Wing BP
7,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
86,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
49,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
16,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
33,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
16,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
23,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
18,352,Drink,Drink;Cold,Coke
35,121,Drink,Drink;Cold,Coke Float (Promo)
64,73,Drink,Drink;Cold,Cold / Iced Water
26,594,Side,Bread;Sweet,Condensed & Peanut TT
96,473,Side,Dimsum;Chicken,Custard Bun
194,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
36,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
21,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
16,473,Side,Bread;Savoury,Egg & Ham Sandwich
25,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
73,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
20,788,Side,Bread;Savoury,F.Toast Chicken Floss
96,2364,Side,Bread;Sweet,F.Toast Ice Cream
49,1394,Main,Western;Fish,Fish & Chips
49,1394,Main,Bakedrice;Fish,Fish Bk Rice
16,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
16,1273,Main,Spaghetti;Fish,Fish Fillet Spag
