46,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
24,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
10,1515,Main,BakedRice;Seafood,BAKED RICE EBI
82,545,Side,Dimsum;Pork,BBQ Pork Bun
14,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
9,1273,Main,Western;Chicken,BP Chicken Chop
12,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
15,1273,Main,Western;Chicken,BP Chix Chop & Fries
26,1273,Main,Spaghetti;Chicken,BP Chix Spag
21,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
163,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
15,473,Dessert,Dessert;Cold,Beancurd w Mango
58,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
25,352,Side,Bread,Bo Lo Bun
22,594,Side,Soup;Beef,Borsch Soup
40,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
17,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
15,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
4,836,Drink,Drink;Cold,COKE FLOAT
68,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
26,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
58,1030,Main,Porridge;Pork,Cent Egg Pork Por
121,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
55,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
53,594,Side,Dimsum;Chicken,Chicken Feet
41,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
45,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
21,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
22,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
55,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
17,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
9,909,Main,Soup;Chicken,Chicken Macaroni Soup
36,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
19,715,Side,Fingerfood;Chicken,Chicken with Seaweed
56,206,Drink,Drink;Hot,Chinese Tea
39,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
114,594,Side,Dimsum;Chicken,Chix Feet
24,594,Side,Fingerfood;Chicken,Chix Wing BP
35,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
90,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
69,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
13,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
23,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
11,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
46,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
6,352,Drink,Drink;Cold,Coke
13,121,Drink,Drink;Cold,Coke Float (Promo)
59,73,Drink,Drink;Cold,Cold / Iced Water
21,594,Side,Bread;Sweet,Condensed & Peanut TT
78,473,Side,Dimsum;Chicken,Custard Bun
130,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
39,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
31,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
15,473,Side,Bread;Savoury,Egg & Ham Sandwich
22,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
13,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
15,788,Side,Bread;Savoury,F.Toast Chicken Floss
49,2364,Side,Bread;Sweet,F.Toast Ice Cream
7,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
51,1394,Main,Western;Fish,Fish & Chips
28,1394,Main,Bakedrice;Fish,Fish Bk Rice
45,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
10,1273,Main,Spaghetti;Fish,Fish Fillet Spag
50,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
35,1273,Main,Rice;Fish,Fish Slice Muifan
51,1030,Main,Porridge;Fish,Fish Slice Por
34,594,Side,Bread;Sweet,French Toast
20,594,Drink,Drink;Cold,Fresh  Lime Juice
49,352,Drink,Drink;Hot,Fresh Soy Milk
25,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
6,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
99,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
30,594,Side,Fingerfood;Chicken,HAM BO LO BUN
50,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
30,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
23,836,Side,Bread;Pork,Ham Egg Toast N French Fries
161,594,Side,Dimsum;Seafood,Har Gao
17,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
63,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
85,424,Drink,Drink;Hot,Hot Coffee-Tea
17,473,Drink,Drink;Hot,Hot Honey Green Tea
63,473,Drink,Drink;Hot,Hot Honey with Lemon
3,836,Drink,Drink;Cold,ICED MILO FLOAT
25,545,Drink,Drink;Cold,Ice Milo Dinosaur
65,473,Drink,Drink;Cold,Iced Coffee-Tea
6,836,Drink,Drink;Cold,Iced Coffee-Tea Float
13,594,Drink,Drink;Cold,Iced Honey Green Tea
99,594,Drink,Drink;Cold,Iced Lemon Tea
103,667,Drink,Drink;Cold,Iced Lychee Tea
138,473,Drink,Drink;Cold,Iced Milk Tea
6,836,Drink,Drink;Cold,Iced Milk Tea Float
12,667,Drink,Drink;Cold,Iced Peach Tea
33,473,Drink,Drink;Cold,Iced Soy Milk
15,667,Drink,Drink;Cold,Iced Yuzu Tea
16,352,Side,Bread;Sweet,Kaya Butter Bread
55,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
50,206,Drink,Drink;Hot,Kopi
33,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
5,473,Drink,Drink;Hot,LEMON COKE
18,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
