19,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
122,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
83,1515,Main,BakedRice;Seafood,BAKED RICE EBI
26,545,Side,Dimsum;Pork,BBQ Pork Bun
30,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
36,1273,Main,Western;Chicken,BP Chicken Chop
73,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
50,1273,Main,Western;Chicken,BP Chix Chop & Fries
69,1273,Main,Spaghetti;Chicken,BP Chix Spag
43,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
66,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
21,473,Dessert,Dessert;Cold,Beancurd w Mango
24,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
5,352,Side,Bread,Bo Lo Bun
11,594,Side,Soup;Beef,Borsch Soup
76,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
30,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
43,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
13,836,Drink,Drink;Cold,COKE FLOAT
96,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
53,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
73,1030,Main,Porridge;Pork,Cent Egg Pork Por
291,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
162,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
34,594,Side,Dimsum;Chicken,Chicken Feet
83,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
13,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
96,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
36,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
26,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
34,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
10,909,Main,Soup;Chicken,Chicken Macaroni Soup
50,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
40,715,Side,Fingerfood;Chicken,Chicken with Seaweed
33,206,Drink,Drink;Hot,Chinese Tea
132,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
53,594,Side,Dimsum;Chicken,Chix Feet
5,594,Side,Fingerfood;Chicken,Chix Wing BP
3,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
71,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
24,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
16,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
66,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
10,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
19,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
17,352,Drink,Drink;Cold,Coke
3,121,Drink,Drink;Cold,Coke Float (Promo)
58,73,Drink,Drink;Cold,Cold / Iced Water
11,594,Side,Bread;Sweet,Condensed & Peanut TT
48,473,Side,Dimsum;Chicken,Custard Bun
11,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
34,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
83,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
8,473,Side,Bread;Savoury,Egg & Ham Sandwich
36,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
42,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
13,788,Side,Bread;Savoury,F.Toast Chicken Floss
58,2364,Side,Bread;Sweet,F.Toast Ice Cream
26,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
96,1394,Main,Western;Fish,Fish & Chips
93,1394,Main,Bakedrice;Fish,Fish Bk Rice
40,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
36,1273,Main,Spaghetti;Fish,Fish Fillet Spag
63,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
43,1273,Main,Rice;Fish,Fish Slice Muifan
69,1030,Main,Porridge;Fish,Fish Slice Por
50,594,Side,Bread;Sweet,French Toast
13,594,Drink,Drink;Cold,Fresh  Lime Juice
37,352,Drink,Drink;Hot,Fresh Soy Milk
33,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
3,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
71,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
5,594,Side,Fingerfood;Chicken,HAM BO LO BUN
56,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
99,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
11,836,Side,Bread;Pork,Ham Egg Toast N French Fries
116,594,Side,Dimsum;Seafood,Har Gao
13,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
58,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
53,424,Drink,Drink;Hot,Hot Coffee-Tea
16,473,Drink,Drink;Hot,Hot Honey Green Tea
32,473,Drink,Drink;Hot,Hot Honey with Lemon
13,836,Drink,Drink;Cold,ICED MILO FLOAT
66,545,Drink,Drink;Cold,Ice Milo Dinosaur
64,473,Drink,Drink;Cold,Iced Coffee-Tea
15,836,Drink,Drink;Cold,Iced Coffee-Tea Float
28,594,Drink,Drink;Cold,Iced Honey Green Tea
89,594,Drink,Drink;Cold,Iced Lemon Tea
97,667,Drink,Drink;Cold,Iced Lychee Tea
156,473,Drink,Drink;Cold,Iced Milk Tea
15,836,Drink,Drink;Cold,Iced Milk Tea Float
11,667,Drink,Drink;Cold,Iced Peach Tea
40,473,Drink,Drink;Cold,Iced Soy Milk
12,667,Drink,Drink;Cold,Iced Yuzu Tea
8,352,Side,Bread;Sweet,Kaya Butter Bread
8,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
24,206,Drink,Drink;Hot,Kopi
5,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
4,473,Drink,Drink;Hot,LEMON COKE
3,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
15,594,Drink,Drink;Cold,Lime Juice
32,594,Side,Fingerfood;Pork,Luncheon Meat Fries
50,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
16,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
99,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
25,715,Drink,Drink;Cold,Lychee Ice-blended
79,836,Dessert,Dessert;Cold,Mango Pomelo
34,909,Dessert,Dessert;Cold,Mango SnowIce
66,424,Drink,Drink;Hot,Milk Tea
22,229,Drink,Drink;Hot,Milo
29,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
63,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
93,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
93,788,Side,Dimsum;Pork,Pan Fried Dumpling
32,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
13,1430,Drink,Drink;Cold,Peach Ice-blended
8,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
129,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
159,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
36,1394,Main,Rice;Pork,Pork Chop Frag Rice
13,1394,Main,Noodle;Pork,Pork Chop Noodle
23,1030,Main,Porridge;Pork,Pork N Century Egg Congee
63,1394,Main,Noodle;Pork,Pork Ribs BH
26,1030,Main,Porridge;Pork,Pork n Century Egg Congee
29,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
33,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
46,594,Drink,Drink;Cold,RAINBOW SPRITE
50,594,Side,Dimsum;Pork,Radish Cake
16,909,Dessert,Dessert;Cold,Red Bean Snow
122,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
46,1394,Main,Rice;Pork,SH Pork Chop Rice
46,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
13,594,Drink,Drink;Cold,SOUR PLUM COKE
11,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
83,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
71,594,Side,Dimsum;Pork,SPRING ROLL
112,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
23,1151,Main,Porridge;Seafood,Sampan Congee
7,1321,Main,Noodle;Seafood,Seafood Ee Noodle
36,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
53,1273,Main,Rice;Seafood,Seafood Muifan
