36,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
15,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
37,1515,Main,BakedRice;Seafood,BAKED RICE EBI
77,545,Side,Dimsum;Pork,BBQ Pork Bun
15,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
30,1273,Main,Western;Chicken,BP Chicken Chop
22,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
7,1273,Main,Western;Chicken,BP Chix Chop & Fries
15,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
125,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
24,473,Dessert,Dessert;Cold,Beancurd w Mango
12,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
18,352,Side,Bread,Bo Lo Bun
30,594,Side,Soup;Beef,Borsch Soup
44,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
7,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
3,836,Drink,Drink;Cold,COKE FLOAT
74,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
22,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
67,1030,Main,Porridge;Pork,Cent Egg Pork Por
141,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
104,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
89,594,Side,Dimsum;Chicken,Chicken Feet
15,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
7,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
7,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
30,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
30,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
6,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
37,909,Main,Soup;Chicken,Chicken Macaroni Soup
52,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
18,715,Side,Fingerfood;Chicken,Chicken with Seaweed
36,206,Drink,Drink;Hot,Chinese Tea
44,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
65,594,Side,Dimsum;Chicken,Chix Feet
12,594,Side,Fingerfood;Chicken,Chix Wing BP
30,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
95,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
30,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
