uscore,price,item_type,item_cat,item_desc
70,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
405,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
135,1515,Main,BakedRice;Seafood,BAKED RICE EBI
1783,545,Side,Dimsum;Pork,BBQ Pork Bun
135,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
90,1273,Main,Western;Chicken,BP Chicken Chop
45,1273,Main,Western;Chicken,BP Chix Chop & Fries
270,1273,Main,Spaghetti;Chicken,BP Chix Spag
1706,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
70,473,Dessert,Dessert;Cold,Beancurd w Mango
116,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
426,352,Side,Bread,Bo Lo Bun
542,594,Side,Soup;Beef,Borsch Soup
630,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
180,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
270,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
360,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
225,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
3238,1030,Main,Porridge;Pork,Cent Egg Pork Por
855,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
675,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
426,594,Side,Dimsum;Chicken,Chicken Feet
135,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
135,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
45,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
135,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
310,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
1350,909,Main,Soup;Chicken,Chicken Macaroni Soup
1080,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
426,715,Side,Fingerfood;Chicken,Chicken with Seaweed
96,206,Drink,Drink;Hot,Chinese Tea
90,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
1202,594,Side,Dimsum;Chicken,Chix Feet
78,594,Side,Fingerfood;Chicken,Chix Wing BP
233,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
388,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
155,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
116,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
45,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
855,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
11,352,Drink,Drink;Cold,Coke
33,121,Drink,Drink;Cold,Coke Float (Promo)
37,73,Drink,Drink;Cold,Cold / Iced Water
582,594,Side,Bread;Sweet,Condensed & Peanut TT
1938,473,Side,Dimsum;Chicken,Custard Bun
582,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
194,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
180,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
659,473,Side,Bread;Savoury,Egg & Ham Sandwich
450,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
194,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
426,788,Side,Bread;Savoury,F.Toast Chicken Floss
504,2364,Side,Bread;Sweet,F.Toast Ice Cream
225,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
90,1394,Main,Western;Fish,Fish & Chips
630,1394,Main,Bakedrice;Fish,Fish Bk Rice
270,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
90,1273,Main,Spaghetti;Fish,Fish Fillet Spag
540,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
135,1273,Main,Rice;Fish,Fish Slice Muifan
2068,1030,Main,Porridge;Fish,Fish Slice Por
1202,594,Side,Bread;Sweet,French Toast
18,594,Drink,Drink;Cold,Fresh  Lime Juice
176,352,Drink,Drink;Hot,Fresh Soy Milk
180,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
310,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
383,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
969,594,Side,Fingerfood;Chicken,HAM BO LO BUN
271,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
1620,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
1977,836,Side,Bread;Pork,Ham Egg Toast N French Fries
2249,594,Side,Dimsum;Seafood,Har Gao
35,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
418,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
1604,424,Drink,Drink;Hot,Hot Coffee-Tea
74,473,Drink,Drink;Hot,Hot Honey Green Tea
132,473,Drink,Drink;Hot,Hot Honey with Lemon
7,836,Drink,Drink;Cold,ICED MILO FLOAT
63,545,Drink,Drink;Cold,Ice Milo Dinosaur
199,473,Drink,Drink;Cold,Iced Coffee-Tea
22,836,Drink,Drink;Cold,Iced Coffee-Tea Float
11,594,Drink,Drink;Cold,Iced Honey Green Tea
136,594,Drink,Drink;Cold,Iced Lemon Tea
85,667,Drink,Drink;Cold,Iced Lychee Tea
574,473,Drink,Drink;Cold,Iced Milk Tea
7,836,Drink,Drink;Cold,Iced Milk Tea Float
15,667,Drink,Drink;Cold,Iced Peach Tea
66,473,Drink,Drink;Cold,Iced Soy Milk
7,667,Drink,Drink;Cold,Iced Yuzu Tea
969,352,Side,Bread;Sweet,Kaya Butter Bread
1783,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
508,206,Drink,Drink;Hot,Kopi
1977,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
22,473,Drink,Drink;Hot,LEMON COKE
39,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
78,594,Side,Fingerfood;Pork,Luncheon Meat Fries
90,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
775,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
1170,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
11,715,Drink,Drink;Cold,Lychee Ice-blended
209,836,Dessert,Dessert;Cold,Mango Pomelo
70,909,Dessert,Dessert;Cold,Mango SnowIce
574,424,Drink,Drink;Hot,Milk Tea
102,229,Drink,Drink;Hot,Milo
155,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
90,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
135,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
1628,788,Side,Dimsum;Pork,Pan Fried Dumpling
116,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
155,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
1169,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
495,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
225,1394,Main,Noodle;Pork,Pork Chop Noodle
540,1030,Main,Porridge;Pork,Pork N Century Egg Congee
405,1394,Main,Noodle;Pork,Pork Ribs BH
990,1030,Main,Porridge;Pork,Pork n Century Egg Congee
426,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
90,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
18,594,Drink,Drink;Cold,RAINBOW SPRITE
2132,594,Side,Dimsum;Pork,Radish Cake
270,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
630,1394,Main,Rice;Pork,SH Pork Chop Rice
135,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
11,594,Drink,Drink;Cold,SOUR PLUM COKE
139,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
810,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
892,594,Side,Dimsum;Pork,SPRING ROLL
180,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
360,1151,Main,Porridge;Seafood,Sampan Congee
135,1321,Main,Noodle;Seafood,Seafood Ee Noodle
225,1273,Main,Rice;Seafood,Seafood Muifan
225,1273,Main,Noodle;Seafood,Seafood Sauteed HF
900,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
696,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
3760,545,Side,Dimsum;Seafood;Pork,Siew Mai
1079,1394,Main,Noodle;Pork,Signature Fried Noodles
1709,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
2068,1200,Main,Porridge;Seafood,Sliced Empress Congee
90,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
930,352,Side,Bread,Soft Boiled Eggs
155,836,Side,Soup,Soup Of The Day
810,1030,Main,Porridge;Pork,Spicy Pork Por
271,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
11,352,Drink,Drink;Cold,Sprite
900,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
426,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
228,206,Drink,Drink;Hot,Teh
45,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
45,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
39,182,Side,Addons;Vegetarian,WHITE RICE
1164,715,Side,Soup;Pork;Seafood,Wanton Soup
495,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
