18,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
34,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
11,1515,Main,BakedRice;Seafood,BAKED RICE EBI
55,545,Side,Dimsum;Pork,BBQ Pork Bun
11,1273,Main,Western;Chicken,BP Chicken Chop
11,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
11,1273,Main,Western;Chicken,BP Chix Chop & Fries
11,1273,Main,Spaghetti;Chicken,BP Chix Spag
101,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
9,473,Dessert,Dessert;Cold,Beancurd w Mango
27,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
9,352,Side,Bread,Bo Lo Bun
27,594,Side,Soup;Beef,Borsch Soup
80,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
34,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
5,836,Drink,Drink;Cold,COKE FLOAT
34,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
46,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
46,1030,Main,Porridge;Pork,Cent Egg Pork Por
149,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
114,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
37,594,Side,Dimsum;Chicken,Chicken Feet
23,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
34,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
64,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
9,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
11,909,Main,Soup;Chicken,Chicken Macaroni Soup
80,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
27,715,Side,Fingerfood;Chicken,Chicken with Seaweed
41,206,Drink,Drink;Hot,Chinese Tea
80,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
27,594,Side,Dimsum;Chicken,Chix Feet
