22,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
34,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
20,1515,Main,BakedRice;Seafood,BAKED RICE EBI
102,545,Side,Dimsum;Pork,BBQ Pork Bun
20,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
10,1273,Main,Western;Chicken,BP Chicken Chop
24,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
25,1273,Main,Western;Chicken,BP Chix Chop & Fries
55,1273,Main,Spaghetti;Chicken,BP Chix Spag
21,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
128,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
13,473,Dessert,Dessert;Cold,Beancurd w Mango
25,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
40,352,Side,Bread,Bo Lo Bun
37,594,Side,Soup;Beef,Borsch Soup
56,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
19,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
23,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
4,836,Drink,Drink;Cold,COKE FLOAT
38,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
33,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
51,1030,Main,Porridge;Pork,Cent Egg Pork Por
164,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
81,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
34,594,Side,Dimsum;Chicken,Chicken Feet
33,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
13,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
23,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
26,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
52,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
8,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
22,909,Main,Soup;Chicken,Chicken Macaroni Soup
64,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
27,715,Side,Fingerfood;Chicken,Chicken with Seaweed
25,206,Drink,Drink;Hot,Chinese Tea
55,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
108,594,Side,Dimsum;Chicken,Chix Feet
15,594,Side,Fingerfood;Chicken,Chix Wing BP
20,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
70,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
30,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
