21,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
57,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
23,1515,Main,BakedRice;Seafood,BAKED RICE EBI
42,545,Side,Dimsum;Pork,BBQ Pork Bun
19,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
38,1273,Main,Western;Chicken,BP Chicken Chop
76,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
15,1273,Main,Western;Chicken,BP Chix Chop & Fries
30,1273,Main,Spaghetti;Chicken,BP Chix Spag
23,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
64,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
12,473,Dessert,Dessert;Cold,Beancurd w Mango
15,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
18,352,Side,Bread,Bo Lo Bun
27,594,Side,Soup;Beef,Borsch Soup
79,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
15,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
42,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
12,836,Drink,Drink;Cold,COKE FLOAT
64,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
49,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
42,1030,Main,Porridge;Pork,Cent Egg Pork Por
170,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
151,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
54,594,Side,Dimsum;Chicken,Chicken Feet
30,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
23,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
34,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
39,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
24,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
26,909,Main,Soup;Chicken,Chicken Macaroni Soup
34,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
33,715,Side,Fingerfood;Chicken,Chicken with Seaweed
21,206,Drink,Drink;Hot,Chinese Tea
60,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
21,594,Side,Dimsum;Chicken,Chix Feet
15,594,Side,Fingerfood;Chicken,Chix Wing BP
12,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
48,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
21,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
6,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
26,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
23,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
33,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
20,352,Drink,Drink;Cold,Coke
5,121,Drink,Drink;Cold,Coke Float (Promo)
67,73,Drink,Drink;Cold,Cold / Iced Water
6,594,Side,Bread;Sweet,Condensed & Peanut TT
45,473,Side,Dimsum;Chicken,Custard Bun
12,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
21,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
68,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
30,473,Side,Bread;Savoury,Egg & Ham Sandwich
79,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
79,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
27,788,Side,Bread;Savoury,F.Toast Chicken Floss
45,2364,Side,Bread;Sweet,F.Toast Ice Cream
38,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
34,1394,Main,Western;Fish,Fish & Chips
38,1394,Main,Bakedrice;Fish,Fish Bk Rice
19,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
15,1273,Main,Spaghetti;Fish,Fish Fillet Spag
53,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
23,1273,Main,Rice;Fish,Fish Slice Muifan
30,1030,Main,Porridge;Fish,Fish Slice Por
67,594,Side,Bread;Sweet,French Toast
9,594,Drink,Drink;Cold,Fresh  Lime Juice
42,352,Drink,Drink;Hot,Fresh Soy Milk
34,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
45,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
30,594,Side,Fingerfood;Chicken,HAM BO LO BUN
24,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
38,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
30,836,Side,Bread;Pork,Ham Egg Toast N French Fries
82,594,Side,Dimsum;Seafood,Har Gao
21,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
54,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
64,424,Drink,Drink;Hot,Hot Coffee-Tea
24,473,Drink,Drink;Hot,Hot Honey Green Tea
