21,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
83,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
73,1515,Main,BakedRice;Seafood,BAKED RICE EBI
67,545,Side,Dimsum;Pork,BBQ Pork Bun
42,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
31,1273,Main,Western;Chicken,BP Chicken Chop
36,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
26,1273,Main,Western;Chicken,BP Chix Chop & Fries
62,1273,Main,Spaghetti;Chicken,BP Chix Spag
10,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
96,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
12,473,Dessert,Dessert;Cold,Beancurd w Mango
33,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
33,352,Side,Bread,Bo Lo Bun
8,594,Side,Soup;Beef,Borsch Soup
88,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
21,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
31,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
23,836,Drink,Drink;Cold,COKE FLOAT
31,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
47,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
68,1030,Main,Porridge;Pork,Cent Egg Pork Por
291,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
88,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
67,594,Side,Dimsum;Chicken,Chicken Feet
47,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
36,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
62,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
26,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
33,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
17,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
36,909,Main,Soup;Chicken,Chicken Macaroni Soup
42,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
46,715,Side,Fingerfood;Chicken,Chicken with Seaweed
25,206,Drink,Drink;Hot,Chinese Tea
130,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
112,594,Side,Dimsum;Chicken,Chix Feet
21,594,Side,Fingerfood;Chicken,Chix Wing BP
17,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
75,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
17,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
8,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
47,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
31,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
25,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
23,352,Drink,Drink;Cold,Coke
25,121,Drink,Drink;Cold,Coke Float (Promo)
44,73,Drink,Drink;Cold,Cold / Iced Water
12,594,Side,Bread;Sweet,Condensed & Peanut TT
100,473,Side,Dimsum;Chicken,Custard Bun
83,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
29,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
26,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
8,473,Side,Bread;Savoury,Egg & Ham Sandwich
57,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
33,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
17,788,Side,Bread;Savoury,F.Toast Chicken Floss
71,2364,Side,Bread;Sweet,F.Toast Ice Cream
5,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
125,1394,Main,Western;Fish,Fish & Chips
83,1394,Main,Bakedrice;Fish,Fish Bk Rice
36,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
21,1273,Main,Spaghetti;Fish,Fish Fillet Spag
57,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
52,1273,Main,Rice;Fish,Fish Slice Muifan
83,1030,Main,Porridge;Fish,Fish Slice Por
12,594,Side,Bread;Sweet,French Toast
23,594,Drink,Drink;Cold,Fresh  Lime Juice
31,352,Drink,Drink;Hot,Fresh Soy Milk
31,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
21,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
79,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
12,594,Side,Fingerfood;Chicken,HAM BO LO BUN
50,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
94,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
25,836,Side,Bread;Pork,Ham Egg Toast N French Fries
212,594,Side,Dimsum;Seafood,Har Gao
4,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
54,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
73,424,Drink,Drink;Hot,Hot Coffee-Tea
10,473,Drink,Drink;Hot,Hot Honey Green Tea
29,473,Drink,Drink;Hot,Hot Honey with Lemon
17,836,Drink,Drink;Cold,ICED MILO FLOAT
77,545,Drink,Drink;Cold,Ice Milo Dinosaur
77,473,Drink,Drink;Cold,Iced Coffee-Tea
17,836,Drink,Drink;Cold,Iced Coffee-Tea Float
31,594,Drink,Drink;Cold,Iced Honey Green Tea
100,594,Drink,Drink;Cold,Iced Lemon Tea
85,667,Drink,Drink;Cold,Iced Lychee Tea
189,473,Drink,Drink;Cold,Iced Milk Tea
10,836,Drink,Drink;Cold,Iced Milk Tea Float
19,667,Drink,Drink;Cold,Iced Peach Tea
64,473,Drink,Drink;Cold,Iced Soy Milk
10,667,Drink,Drink;Cold,Iced Yuzu Tea
25,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
50,206,Drink,Drink;Hot,Kopi
29,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
4,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
6,594,Drink,Drink;Cold,Lime Juice
29,594,Side,Fingerfood;Pork,Luncheon Meat Fries
5,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
37,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
78,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
35,715,Drink,Drink;Cold,Lychee Ice-blended
42,836,Dessert,Dessert;Cold,Mango Pomelo
46,909,Dessert,Dessert;Cold,Mango SnowIce
100,424,Drink,Drink;Hot,Milk Tea
29,229,Drink,Drink;Hot,Milo
21,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
42,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
42,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
100,788,Side,Dimsum;Pork,Pan Fried Dumpling
37,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
12,1430,Drink,Drink;Cold,Peach Ice-blended
8,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
125,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
109,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
57,1394,Main,Rice;Pork,Pork Chop Frag Rice
31,1394,Main,Noodle;Pork,Pork Chop Noodle
10,1030,Main,Porridge;Pork,Pork N Century Egg Congee
78,1394,Main,Noodle;Pork,Pork Ribs BH
16,1030,Main,Porridge;Pork,Pork n Century Egg Congee
46,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
16,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
42,594,Drink,Drink;Cold,RAINBOW SPRITE
71,594,Side,Dimsum;Pork,Radish Cake
25,909,Dessert,Dessert;Cold,Red Bean Snow
88,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
42,1394,Main,Rice;Pork,SH Pork Chop Rice
26,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
4,594,Drink,Drink;Cold,SOUR PLUM COKE
21,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
135,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
121,594,Side,Dimsum;Pork,SPRING ROLL
62,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
26,1151,Main,Porridge;Seafood,Sampan Congee
5,1321,Main,Noodle;Seafood,Seafood Ee Noodle
16,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
47,1273,Main,Rice;Seafood,Seafood Muifan
57,1273,Main,Noodle;Seafood,Seafood Sauteed HF
16,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
33,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
170,545,Side,Dimsum;Seafood;Pork,Siew Mai
125,1394,Main,Noodle;Pork,Signature Fried Noodles
275,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
94,1200,Main,Porridge;Seafood,Sliced Empress Congee
16,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
17,352,Side,Bread,Soft Boiled Eggs
21,836,Side,Soup,Soup Of The Day
16,1030,Main,Porridge;Pork,Spicy Pork Por
33,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
17,352,Drink,Drink;Cold,Sprite
42,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
25,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
42,206,Drink,Drink;Hot,Teh
31,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
21,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
8,182,Side,Addons;Vegetarian,WHITE RICE
25,715,Side,Soup;Pork;Seafood,Wanton Soup
94,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
44,73,Drink,Drink;Hot,Warm Water
8,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
23,715,Drink,Drink;Cold,Watermelon Ice
40,715,Drink,Drink;Cold,Watermelon Ice-Blended
130,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
35,388,Drink,Drink;Hot,Yuzu Tea
