uscore,price,item_type,item_cat,item_desc
755,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
377,1515,Main,BakedRice;Seafood,BAKED RICE EBI
459,545,Side,Dimsum;Pork,BBQ Pork Bun
189,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
377,1273,Main,Western;Chicken,BP Chicken Chop
189,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
189,1273,Main,Western;Chicken,BP Chix Chop & Fries
377,1273,Main,Spaghetti;Chicken,BP Chix Spag
377,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
505,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
147,473,Dessert,Dessert;Cold,Beancurd w Mango
46,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
230,352,Side,Bread,Bo Lo Bun
92,594,Side,Soup;Beef,Borsch Soup
189,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
1321,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
377,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
189,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
1698,1030,Main,Porridge;Pork,Cent Egg Pork Por
3396,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1321,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
46,594,Side,Dimsum;Chicken,Chicken Feet
189,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
189,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
1509,909,Main,Soup;Chicken,Chicken Macaroni Soup
189,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
46,715,Side,Fingerfood;Chicken,Chicken with Seaweed
55,206,Drink,Drink;Hot,Chinese Tea
566,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
275,594,Side,Dimsum;Chicken,Chix Feet
46,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
566,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
189,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
147,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
14,352,Drink,Drink;Cold,Coke
83,73,Drink,Drink;Cold,Cold / Iced Water
92,594,Side,Bread;Sweet,Condensed & Peanut TT
138,473,Side,Dimsum;Chicken,Custard Bun
46,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
377,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
1321,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
321,788,Side,Bread;Savoury,F.Toast Chicken Floss
46,2364,Side,Bread;Sweet,F.Toast Ice Cream
377,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
943,1394,Main,Western;Fish,Fish & Chips
377,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
755,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
2075,1030,Main,Porridge;Fish,Fish Slice Por
184,594,Side,Bread;Sweet,French Toast
69,352,Drink,Drink;Hot,Fresh Soy Milk
566,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
441,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
92,594,Side,Fingerfood;Chicken,HAM BO LO BUN
92,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
1132,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
505,836,Side,Bread;Pork,Ham Egg Toast N French Fries
551,594,Side,Dimsum;Seafood,Har Gao
294,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
486,424,Drink,Drink;Hot,Hot Coffee-Tea
55,473,Drink,Drink;Hot,Hot Honey Green Tea
125,473,Drink,Drink;Hot,Hot Honey with Lemon
14,836,Drink,Drink;Cold,ICED MILO FLOAT
83,545,Drink,Drink;Cold,Ice Milo Dinosaur
180,473,Drink,Drink;Cold,Iced Coffee-Tea
14,836,Drink,Drink;Cold,Iced Coffee-Tea Float
28,594,Drink,Drink;Cold,Iced Honey Green Tea
125,594,Drink,Drink;Cold,Iced Lemon Tea
28,667,Drink,Drink;Cold,Iced Lychee Tea
291,473,Drink,Drink;Cold,Iced Milk Tea
14,836,Drink,Drink;Cold,Iced Milk Tea Float
14,667,Drink,Drink;Cold,Iced Peach Tea
69,473,Drink,Drink;Cold,Iced Soy Milk
184,352,Side,Bread;Sweet,Kaya Butter Bread
46,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
277,206,Drink,Drink;Hot,Kopi
230,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
14,473,Drink,Drink;Hot,LEMON COKE
46,594,Side,Fingerfood;Pork,Luncheon Meat Fries
755,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
14,715,Drink,Drink;Cold,Lychee Ice-blended
294,836,Dessert,Dessert;Cold,Mango Pomelo
147,909,Dessert,Dessert;Cold,Mango SnowIce
291,424,Drink,Drink;Hot,Milk Tea
208,229,Drink,Drink;Hot,Milo
92,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
189,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
