34,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
69,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
80,1515,Main,BakedRice;Seafood,BAKED RICE EBI
26,545,Side,Dimsum;Pork,BBQ Pork Bun
69,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
27,1273,Main,Western;Chicken,BP Chicken Chop
32,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
75,1273,Main,Western;Chicken,BP Chix Chop & Fries
64,1273,Main,Spaghetti;Chicken,BP Chix Spag
43,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
60,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
4,473,Dessert,Dessert;Cold,Beancurd w Mango
43,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
9,352,Side,Bread,Bo Lo Bun
17,594,Side,Soup;Beef,Borsch Soup
85,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
21,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
43,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
13,836,Drink,Drink;Cold,COKE FLOAT
69,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
53,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
85,1030,Main,Porridge;Pork,Cent Egg Pork Por
314,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
128,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
55,594,Side,Dimsum;Chicken,Chicken Feet
80,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
43,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
75,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
27,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
30,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
17,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
27,909,Main,Soup;Chicken,Chicken Macaroni Soup
59,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
17,715,Side,Fingerfood;Chicken,Chicken with Seaweed
23,206,Drink,Drink;Hot,Chinese Tea
218,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
98,594,Side,Dimsum;Chicken,Chix Feet
21,594,Side,Fingerfood;Chicken,Chix Wing BP
9,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
43,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
26,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
9,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
48,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
21,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
17,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
17,352,Drink,Drink;Cold,Coke
2,121,Drink,Drink;Cold,Coke Float (Promo)
49,73,Drink,Drink;Cold,Cold / Iced Water
30,594,Side,Bread;Sweet,Condensed & Peanut TT
55,473,Side,Dimsum;Chicken,Custard Bun
26,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
26,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
64,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
13,473,Side,Bread;Savoury,Egg & Ham Sandwich
75,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
34,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
9,788,Side,Bread;Savoury,F.Toast Chicken Floss
38,2364,Side,Bread;Sweet,F.Toast Ice Cream
16,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
176,1394,Main,Western;Fish,Fish & Chips
91,1394,Main,Bakedrice;Fish,Fish Bk Rice
