uscore,price,item_type,item_cat,item_desc
2232,545,Side,Dimsum;Pork,BBQ Pork Bun
1192,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
1192,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
105,836,Drink,Drink;Cold,COKE FLOAT
2384,1030,Main,Porridge;Pork,Cent Egg Pork Por
3577,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1192,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
2384,909,Main,Soup;Chicken,Chicken Macaroni Soup
2384,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
210,206,Drink,Drink;Hot,Chinese Tea
2385,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
2232,594,Side,Fingerfood;Chicken,Chix Wing BP
2232,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
1192,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
644,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
105,121,Drink,Drink;Cold,Coke Float (Promo)
2232,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
1192,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
2232,473,Side,Bread;Savoury,Egg & Ham Sandwich
2232,2364,Side,Bread;Sweet,F.Toast Ice Cream
2385,1394,Main,Western;Fish,Fish & Chips
1192,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
2384,1030,Main,Porridge;Fish,Fish Slice Por
644,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
11922,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
4464,836,Side,Bread;Pork,Ham Egg Toast N French Fries
4464,594,Side,Dimsum;Seafood,Har Gao
644,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
1476,424,Drink,Drink;Hot,Hot Coffee-Tea
210,473,Drink,Drink;Hot,Hot Honey with Lemon
105,545,Drink,Drink;Cold,Ice Milo Dinosaur
211,473,Drink,Drink;Cold,Iced Coffee-Tea
105,594,Drink,Drink;Cold,Iced Honey Green Tea
105,594,Drink,Drink;Cold,Iced Lemon Tea
316,667,Drink,Drink;Cold,Iced Lychee Tea
421,473,Drink,Drink;Cold,Iced Milk Tea
211,473,Drink,Drink;Cold,Iced Soy Milk
422,206,Drink,Drink;Hot,Kopi
2232,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
2232,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
1192,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
210,424,Drink,Drink;Hot,Milk Tea
2232,788,Side,Dimsum;Pork,Pan Fried Dumpling
2232,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
1192,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
1192,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
1192,1394,Main,Noodle;Pork,Pork Ribs BH
2232,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
105,594,Drink,Drink;Cold,RAINBOW SPRITE
6695,594,Side,Dimsum;Pork,Radish Cake
2385,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
644,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
6695,594,Side,Dimsum;Pork,SPRING ROLL
1192,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
4770,1151,Main,Porridge;Seafood,Sampan Congee
644,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
4464,545,Side,Dimsum;Seafood;Pork,Siew Mai
1192,1394,Main,Noodle;Pork,Signature Fried Noodles
2385,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
2384,1200,Main,Porridge;Seafood,Sliced Empress Congee
2232,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
105,352,Drink,Drink;Cold,Sprite
210,206,Drink,Drink;Hot,Teh
1192,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
2385,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
