22,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
61,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
36,1515,Main,BakedRice;Seafood,BAKED RICE EBI
76,545,Side,Dimsum;Pork,BBQ Pork Bun
20,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
21,1273,Main,Western;Chicken,BP Chicken Chop
28,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
56,1273,Main,Western;Chicken,BP Chix Chop & Fries
66,1273,Main,Spaghetti;Chicken,BP Chix Spag
23,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
124,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
9,473,Dessert,Dessert;Cold,Beancurd w Mango
19,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
3,352,Side,Bread,Bo Lo Bun
7,594,Side,Soup;Beef,Borsch Soup
95,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
34,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
35,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
5,836,Drink,Drink;Cold,COKE FLOAT
103,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
53,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
68,1030,Main,Porridge;Pork,Cent Egg Pork Por
201,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
121,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
30,594,Side,Dimsum;Chicken,Chicken Feet
80,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
18,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
30,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
40,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
18,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
22,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
15,909,Main,Soup;Chicken,Chicken Macaroni Soup
63,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
10,715,Side,Fingerfood;Chicken,Chicken with Seaweed
40,206,Drink,Drink;Hot,Chinese Tea
68,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
73,594,Side,Dimsum;Chicken,Chix Feet
13,594,Side,Fingerfood;Chicken,Chix Wing BP
12,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
47,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
21,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
9,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
44,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
22,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
44,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
20,352,Drink,Drink;Cold,Coke
2,121,Drink,Drink;Cold,Coke Float (Promo)
48,73,Drink,Drink;Cold,Cold / Iced Water
18,594,Side,Bread;Sweet,Condensed & Peanut TT
78,473,Side,Dimsum;Chicken,Custard Bun
15,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
35,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
59,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
5,473,Side,Bread;Savoury,Egg & Ham Sandwich
41,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
10,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
18,788,Side,Bread;Savoury,F.Toast Chicken Floss
20,2364,Side,Bread;Sweet,F.Toast Ice Cream
22,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
98,1394,Main,Western;Fish,Fish & Chips
55,1394,Main,Bakedrice;Fish,Fish Bk Rice
