uscore,price,item_type,item_cat,item_desc
860,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
771,1515,Main,BakedRice;Seafood,BAKED RICE EBI
2182,545,Side,Dimsum;Pork,BBQ Pork Bun
771,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
771,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
2182,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
1455,594,Side,Soup;Beef,Borsch Soup
1543,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
72,836,Drink,Drink;Cold,COKE FLOAT
1543,1030,Main,Porridge;Pork,Cent Egg Pork Por
2314,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
771,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
727,594,Side,Dimsum;Chicken,Chicken Feet
727,715,Side,Fingerfood;Chicken,Chicken with Seaweed
72,206,Drink,Drink;Hot,Chinese Tea
3086,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
1455,594,Side,Dimsum;Chicken,Chix Feet
727,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
727,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
430,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
1455,473,Side,Dimsum;Chicken,Custard Bun
727,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
727,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
1543,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
1455,594,Side,Bread;Sweet,French Toast
727,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
4629,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
2182,836,Side,Bread;Pork,Ham Egg Toast N French Fries
5091,594,Side,Dimsum;Seafood,Har Gao
506,424,Drink,Drink;Hot,Hot Coffee-Tea
145,473,Drink,Drink;Hot,Hot Honey Green Tea
72,836,Drink,Drink;Cold,ICED MILO FLOAT
145,473,Drink,Drink;Cold,Iced Coffee-Tea
72,836,Drink,Drink;Cold,Iced Coffee-Tea Float
72,594,Drink,Drink;Cold,Iced Honey Green Tea
361,667,Drink,Drink;Cold,Iced Lychee Tea
1012,473,Drink,Drink;Cold,Iced Milk Tea
72,836,Drink,Drink;Cold,Iced Milk Tea Float
727,352,Side,Bread;Sweet,Kaya Butter Bread
4364,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
217,206,Drink,Drink;Hot,Kopi
727,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
727,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
217,424,Drink,Drink;Hot,Milk Tea
145,229,Drink,Drink;Hot,Milo
1455,788,Side,Dimsum;Pork,Pan Fried Dumpling
727,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
727,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
1543,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
771,1030,Main,Porridge;Pork,Pork N Century Egg Congee
72,594,Drink,Drink;Cold,RAINBOW SPRITE
2909,594,Side,Dimsum;Pork,Radish Cake
1543,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
1543,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
771,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
430,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
2182,545,Side,Dimsum;Seafood;Pork,Siew Mai
771,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
1543,1200,Main,Porridge;Seafood,Sliced Empress Congee
1455,352,Side,Bread,Soft Boiled Eggs
771,1030,Main,Porridge;Pork,Spicy Pork Por
771,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
727,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
72,206,Drink,Drink;Hot,Teh
727,715,Side,Soup;Pork;Seafood,Wanton Soup
771,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
72,73,Drink,Drink;Hot,Warm Water
72,715,Drink,Drink;Cold,Watermelon Ice-Blended
771,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
