uscore,price,item_type,item_cat,item_desc
186,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
207,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
304,1515,Main,BakedRice;Seafood,BAKED RICE EBI
1207,545,Side,Dimsum;Pork,BBQ Pork Bun
146,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
182,1273,Main,Western;Chicken,BP Chicken Chop
158,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
523,1273,Main,Western;Chicken,BP Chix Chop & Fries
413,1273,Main,Spaghetti;Chicken,BP Chix Spag
243,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
2375,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
178,473,Dessert,Dessert;Cold,Beancurd w Mango
402,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
151,352,Side,Bread,Bo Lo Bun
452,594,Side,Soup;Beef,Borsch Soup
1484,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
413,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
158,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
16,836,Drink,Drink;Cold,COKE FLOAT
1119,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
474,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
1508,1030,Main,Porridge;Pork,Cent Egg Pork Por
1532,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1033,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
716,594,Side,Dimsum;Chicken,Chicken Feet
474,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
231,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
292,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
353,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
427,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
201,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
340,909,Main,Soup;Chicken,Chicken Macaroni Soup
1192,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
101,715,Side,Fingerfood;Chicken,Chicken with Seaweed
208,206,Drink,Drink;Hot,Chinese Tea
657,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
1973,594,Side,Dimsum;Chicken,Chix Feet
239,594,Side,Fingerfood;Chicken,Chix Wing BP
138,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
792,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
465,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
163,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
353,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
182,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
178,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
24,352,Drink,Drink;Cold,Coke
20,121,Drink,Drink;Cold,Coke Float (Promo)
124,73,Drink,Drink;Cold,Cold / Iced Water
226,594,Side,Bread;Sweet,Condensed & Peanut TT
980,473,Side,Dimsum;Chicken,Custard Bun
628,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
452,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
498,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
113,473,Side,Bread;Savoury,Egg & Ham Sandwich
401,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
151,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
239,788,Side,Bread;Savoury,F.Toast Chicken Floss
390,2364,Side,Bread;Sweet,F.Toast Ice Cream
134,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
705,1394,Main,Western;Fish,Fish & Chips
438,1394,Main,Bakedrice;Fish,Fish Bk Rice
912,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
146,1273,Main,Spaghetti;Fish,Fish Fillet Spag
1922,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
413,1273,Main,Rice;Fish,Fish Slice Muifan
2456,1030,Main,Porridge;Fish,Fish Slice Por
390,594,Side,Bread;Sweet,French Toast
41,594,Drink,Drink;Cold,Fresh  Lime Juice
218,352,Drink,Drink;Hot,Fresh Soy Milk
401,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
214,121,Side,Fingerfood;Seafood,Fried Wanton 3pcs
478,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
75,594,Side,Fingerfood;Chicken,HAM BO LO BUN
503,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
1192,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
314,836,Side,Bread;Pork,Ham Egg Toast N French Fries
2501,594,Side,Dimsum;Seafood,Har Gao
81,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
267,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
434,424,Drink,Drink;Hot,Hot Coffee-Tea
60,473,Drink,Drink;Hot,Hot Honey Green Tea
208,473,Drink,Drink;Hot,Hot Honey with Lemon
23,836,Drink,Drink;Cold,ICED MILO FLOAT
62,545,Drink,Drink;Cold,Ice Milo Dinosaur
139,473,Drink,Drink;Cold,Iced Coffee-Tea
13,836,Drink,Drink;Cold,Iced Coffee-Tea Float
32,594,Drink,Drink;Cold,Iced Honey Green Tea
170,594,Drink,Drink;Cold,Iced Lemon Tea
176,667,Drink,Drink;Cold,Iced Lychee Tea
248,473,Drink,Drink;Cold,Iced Milk Tea
12,836,Drink,Drink;Cold,Iced Milk Tea Float
37,667,Drink,Drink;Cold,Iced Peach Tea
63,473,Drink,Drink;Cold,Iced Soy Milk
47,667,Drink,Drink;Cold,Iced Yuzu Tea
126,352,Side,Bread;Sweet,Kaya Butter Bread
553,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
476,206,Drink,Drink;Hot,Kopi
314,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
16,473,Drink,Drink;Hot,LEMON COKE
50,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
22,594,Drink,Drink;Cold,Lime Juice
226,594,Side,Fingerfood;Pork,Luncheon Meat Fries
231,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
176,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
1046,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
28,715,Drink,Drink;Cold,Lychee Ice-blended
624,836,Dessert,Dessert;Cold,Mango Pomelo
227,909,Dessert,Dessert;Cold,Mango SnowIce
468,424,Drink,Drink;Hot,Milk Tea
56,229,Drink,Drink;Hot,Milo
1181,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
182,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
122,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
1998,788,Side,Dimsum;Pork,Pan Fried Dumpling
176,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
22,1430,Drink,Drink;Cold,Peach Ice-blended
113,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
2687,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
973,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
292,1394,Main,Rice;Pork,Pork Chop Frag Rice
134,1394,Main,Noodle;Pork,Pork Chop Noodle
1314,1030,Main,Porridge;Pork,Pork N Century Egg Congee
1143,1394,Main,Noodle;Pork,Pork Ribs BH
194,1030,Main,Porridge;Pork,Pork n Century Egg Congee
390,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
328,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
44,594,Drink,Drink;Cold,RAINBOW SPRITE
1860,594,Side,Dimsum;Pork,Radish Cake
130,909,Dessert,Dessert;Cold,Red Bean Snow
657,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
353,1394,Main,Rice;Pork,SH Pork Chop Rice
316,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
11,594,Drink,Drink;Cold,SOUR PLUM COKE
138,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
1690,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
1370,594,Side,Dimsum;Pork,SPRING ROLL
596,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
924,1151,Main,Porridge;Seafood,Sampan Congee
134,1321,Main,Noodle;Seafood,Seafood Ee Noodle
207,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
413,1273,Main,Rice;Seafood,Seafood Muifan
790,1273,Main,Noodle;Seafood,Seafood Sauteed HF
170,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
462,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
2991,545,Side,Dimsum;Seafood;Pork,Siew Mai
2480,1394,Main,Noodle;Pork,Signature Fried Noodles
2954,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
2724,1200,Main,Porridge;Seafood,Sliced Empress Congee
267,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
528,352,Side,Bread,Soft Boiled Eggs
302,836,Side,Soup,Soup Of The Day
316,1030,Main,Porridge;Pork,Spicy Pork Por
452,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
9,352,Drink,Drink;Cold,Sprite
608,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
528,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
330,206,Drink,Drink;Hot,Teh
280,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
182,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
113,182,Side,Addons;Vegetarian,WHITE RICE
478,715,Side,Soup;Pork;Seafood,Wanton Soup
851,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
424,73,Drink,Drink;Hot,Warm Water
89,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
22,715,Drink,Drink;Cold,Watermelon Ice
8,715,Drink,Drink;Cold,Watermelon Ice-Blended
1058,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
198,388,Drink,Drink;Hot,Yuzu Tea
