uscore,price,item_type,item_cat,item_desc
188,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
368,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
456,1515,Main,BakedRice;Seafood,BAKED RICE EBI
1643,545,Side,Dimsum;Pork,BBQ Pork Bun
186,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
190,1273,Main,Western;Chicken,BP Chicken Chop
266,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
456,1273,Main,Western;Chicken,BP Chix Chop & Fries
672,1273,Main,Spaghetti;Chicken,BP Chix Spag
277,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
1912,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
109,473,Dessert,Dessert;Cold,Beancurd w Mango
384,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
274,352,Side,Bread,Bo Lo Bun
331,594,Side,Soup;Beef,Borsch Soup
847,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
239,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
345,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
12,836,Drink,Drink;Cold,COKE FLOAT
649,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
486,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
699,1030,Main,Porridge;Pork,Cent Egg Pork Por
2323,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1006,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
610,594,Side,Dimsum;Chicken,Chicken Feet
854,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
178,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
357,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
315,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
778,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
226,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
334,909,Main,Soup;Chicken,Chicken Macaroni Soup
740,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
