uscore,price,item_type,item_cat,item_desc
1063,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
1063,1515,Main,BakedRice;Seafood,BAKED RICE EBI
1408,545,Side,Dimsum;Pork,BBQ Pork Bun
1408,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
5634,594,Side,Soup;Beef,Borsch Soup
2126,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
1063,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
2125,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
2817,594,Side,Dimsum;Chicken,Chicken Feet
1063,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
1408,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
2817,715,Side,Fingerfood;Chicken,Chicken with Seaweed
4225,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
1408,473,Side,Dimsum;Chicken,Custard Bun
1408,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
1408,788,Side,Bread;Savoury,F.Toast Chicken Floss
5634,2364,Side,Bread;Sweet,F.Toast Ice Cream
1063,1394,Main,Western;Fish,Fish & Chips
1063,1273,Main,Spaghetti;Fish,Fish Fillet Spag
2126,1030,Main,Porridge;Fish,Fish Slice Por
2817,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
2126,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
4225,594,Side,Dimsum;Seafood,Har Gao
642,424,Drink,Drink;Hot,Hot Coffee-Tea
214,473,Drink,Drink;Hot,Hot Honey with Lemon
107,545,Drink,Drink;Cold,Ice Milo Dinosaur
428,473,Drink,Drink;Cold,Iced Coffee-Tea
214,836,Drink,Drink;Cold,Iced Coffee-Tea Float
107,594,Drink,Drink;Cold,Iced Honey Green Tea
214,594,Drink,Drink;Cold,Iced Lemon Tea
428,667,Drink,Drink;Cold,Iced Lychee Tea
535,473,Drink,Drink;Cold,Iced Milk Tea
214,836,Drink,Drink;Cold,Iced Milk Tea Float
107,667,Drink,Drink;Cold,Iced Peach Tea
107,473,Drink,Drink;Cold,Iced Soy Milk
428,206,Drink,Drink;Hot,Kopi
2817,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
2126,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
107,715,Drink,Drink;Cold,Lychee Ice-blended
1310,836,Dessert,Dessert;Cold,Mango Pomelo
1310,909,Dessert,Dessert;Cold,Mango SnowIce
428,424,Drink,Drink;Hot,Milk Tea
4225,788,Side,Dimsum;Pork,Pan Fried Dumpling
1408,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
107,1430,Drink,Drink;Cold,Peach Ice-blended
1408,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
1063,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
2126,1030,Main,Porridge;Pork,Pork N Century Egg Congee
214,594,Drink,Drink;Cold,RAINBOW SPRITE
1063,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
1063,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
1063,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
2125,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
655,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
1408,545,Side,Dimsum;Seafood;Pork,Siew Mai
1063,1394,Main,Noodle;Pork,Signature Fried Noodles
1063,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
107,352,Drink,Drink;Cold,Sprite
2126,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
4225,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
1408,182,Side,Addons;Vegetarian,WHITE RICE
2816,715,Side,Soup;Pork;Seafood,Wanton Soup
642,73,Drink,Drink;Hot,Warm Water
1310,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
214,715,Drink,Drink;Cold,Watermelon Ice-Blended
2125,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
214,388,Drink,Drink;Hot,Yuzu Tea
