86,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
18,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
114,545,Side,Dimsum;Pork,BBQ Pork Bun
18,1273,Main,Western;Chicken,BP Chicken Chop
18,1273,Main,Western;Chicken,BP Chix Chop & Fries
72,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
100,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
43,473,Dessert,Dessert;Cold,Beancurd w Mango
14,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
29,352,Side,Bread,Bo Lo Bun
14,594,Side,Soup;Beef,Borsch Soup
36,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
18,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
18,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
72,1030,Main,Porridge;Pork,Cent Egg Pork Por
18,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
18,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
29,594,Side,Dimsum;Chicken,Chicken Feet
57,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
14,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
18,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
7,206,Drink,Drink;Hot,Chinese Tea
36,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
29,594,Side,Dimsum;Chicken,Chix Feet
14,594,Side,Fingerfood;Chicken,Chix Wing BP
272,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
43,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
14,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
14,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
36,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
100,836,Dessert,Dessert;Cold,Coffee-Tea Snow Ice
43,352,Drink,Drink;Cold,Coke
21,73,Drink,Drink;Cold,Cold / Iced Water
29,473,Side,Dimsum;Chicken,Custard Bun
43,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
43,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
72,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
29,473,Side,Bread;Savoury,Egg & Ham Sandwich
18,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
