uscore,price,item_type,item_cat,item_desc
233,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
269,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
406,1515,Main,BakedRice;Seafood,BAKED RICE EBI
902,545,Side,Dimsum;Pork,BBQ Pork Bun
176,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
200,1273,Main,Western;Chicken,BP Chicken Chop
361,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
522,1273,Main,Western;Chicken,BP Chix Chop & Fries
731,1273,Main,Spaghetti;Chicken,BP Chix Spag
212,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
1199,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
131,473,Dessert,Dessert;Cold,Beancurd w Mango
427,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
223,352,Side,Bread,Bo Lo Bun
323,594,Side,Soup;Beef,Borsch Soup
734,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
200,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
367,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
22,836,Drink,Drink;Cold,COKE FLOAT
779,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
543,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
719,1030,Main,Porridge;Pork,Cent Egg Pork Por
2563,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
1098,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
392,594,Side,Dimsum;Chicken,Chicken Feet
916,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
215,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
492,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
331,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
771,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
190,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
283,909,Main,Soup;Chicken,Chicken Macaroni Soup
725,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
300,715,Side,Fingerfood;Chicken,Chicken with Seaweed
