25,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
21,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
29,1515,Main,BakedRice;Seafood,BAKED RICE EBI
85,545,Side,Dimsum;Pork,BBQ Pork Bun
14,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
17,1273,Main,Western;Chicken,BP Chicken Chop
14,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
49,1273,Main,Western;Chicken,BP Chix Chop & Fries
40,1273,Main,Spaghetti;Chicken,BP Chix Spag
25,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
170,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
18,473,Dessert,Dessert;Cold,Beancurd w Mango
30,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
11,352,Side,Bread,Bo Lo Bun
16,594,Side,Soup;Beef,Borsch Soup
69,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
37,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
15,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
8,836,Drink,Drink;Cold,COKE FLOAT
109,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
42,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
75,1030,Main,Porridge;Pork,Cent Egg Pork Por
145,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
97,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
50,594,Side,Dimsum;Chicken,Chicken Feet
47,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
21,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
26,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
33,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
30,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
12,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
14,909,Main,Soup;Chicken,Chicken Macaroni Soup
53,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
7,715,Side,Fingerfood;Chicken,Chicken with Seaweed
49,206,Drink,Drink;Hot,Chinese Tea
62,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
144,594,Side,Dimsum;Chicken,Chix Feet
19,594,Side,Fingerfood;Chicken,Chix Wing BP
13,594,Side,Fingerfood;Chicken,Chix Wing Home-made Sour 'N' Spicy Powde
